"第2層","第3層","第4層","UID","H28対応項目","第4層(技術参与清書)","第4層(20220302査読直前)","H28表記","修正提案(20220302)","査読コメント(20220302)","チームからの返信
（原案どおりなら１、修正案に賛成なら２）","チームからのコメント（あれば）","第4層(計算列)","メモ","査読への返答","A","B","C","D","E","F","G","H","I","Unnamed: 24"
"研究の実施","問い","自身の関心を問いにすることができる。","Jkxpmi8","A-08-01-na-04","自身の関心を問いにすることができる。","自身の関心を問いにすることができる","抽出した医学・医療情報から新たな仮説を設定し、解決に向けて科学的研究（臨床研究、疫学研究、生命科学研究等）に参加することができる。","自身の関心を問いにすることができる。","ママ。リサーチクエスチョンまでは立てられないだろう、というチーム内での討議でした",2.0,"","自身の関心を問いにすることができる。","","「問い」という表現がチームでは重視されました","リサーチクェスチョン、クリニカルクェスチョンを立てることができる","","「研究可能な問い（リサーチクエスチョン）の形にすることができる」researchableな、という要素は入れなくて良いか？","","","","","＜リサーチクエスチョン＞といれてもいいですね","",""
"研究の実施","研究計画","研究計画の素案を作ることができる。","JkxpmjA","B-01-03-na-03","研究計画の素案を作ることができる。","研究計画の素案を作ることができる","研究デザイン（観察研究（記述研究、横断研究、症例対照研究、コホート研究）、介入研究（臨床研究、ランダム化比較試験）、システマティックレビュー、メタ分析（メタアナリシス））を概説できる。","研究計画の素案を作ることができる。","ママ",2.0,"","研究計画の素案を作ることができる。","","","これは卒業時の目標に必要でしょうかH28の記述と相同だとすると、研究デザインを概説できるでいいと思いますし、「研究計画の素案を作る」からH28年版の項目を思い起こすことは難しそうです","","12と絡めて「リサーチクエスチョンに応じて適切な研究計画の素案を作ることができる」","","","１２と統合させて良いと思います・","","研究方法を概説できるまでかなぁと思いましたが、研究者育成をコアカリに求めるならあってもいいかもしれません（方略だと思いますが）","レベルを一段階下げて、研究計画に記載する項目を説明できる、にするのはいかがでしょうか。",""
"研究の実施","研究手法","基礎医学（解剖学、生化学、生理学、薬理学、病理学、微生物学、免疫学等）の実習から基本的な実験手技を体得する。","JkxpmjE","A-08-01-na-02","基礎医学の実習（解剖学、生化学、生理学、薬理学、病理学、微生物学、免疫学等）から基本的な実験手技を体得する。","基礎医学の実習から基本的な実験手技を体得する（解剖学、生化学、生理学、薬理学、病理学、微生物学、免疫学等）","生命科学の講義・実習で得た知識を基に、診療で経験した病態の解析ができる。","基礎医学（解剖学、生化学、生理学、薬理学、病理学、微生物学、免疫学等）の実習から基本的な実験手技を体得する。","括弧内の文言の位置を修正しました。基礎医学の分野の例示はわざわざ書かなくてもいい気もしています。",2.0,"","基礎医学（解剖学、生化学、生理学、薬理学、病理学、微生物学、免疫学等）の実習から基本的な実験手技を体得する。","","到達目標にし、社会医学を独立させました。","体験目標ではなく、到達目標の記載にできますか？
その場合、科学的探究の項目ではなく、方略（臨床実習前）に記載してはどうでしょうか","これは方略へ","私はこれは方略だと考える立場なので、「基礎医学の実習（...）ならびに社会医学のフィールドワークを通し、各研究手法の基本（実験手技、データ収集や分析方法など）を習得する」を提案します。","","","","","これも方略かなと思います。臨床以外、というくくりでしょうか。","",""
"研究の実施","研究手法","社会医学（行動科学を含む）の実習から基本的な研究方法論を体得する。","Jk2L__4","A-08-01-na-02","社会医学のフィールドワークや行動科学の方法論を体験する。","社会医学のフィールドワークや行動科学の方法論を体験する","生命科学の講義・実習で得た知識を基に、診療で経験した病態の解析ができる。","社会医学（行動科学を含む）の実習から基本的な研究方法論を体得する。","語調を基礎医学の文章に合わせました",2.0,"","社会医学（行動科学を含む）の実習から基本的な研究方法論を体得する。","","{not found: Jk2L__4}","","","","","","","","","",""
"研究の実施","研究手法","研究室配属等で医学研究の基本的な研究手法を習得する。","JkxpmjI","A-08-01-na-02","研究室配属等で医学研究の基本的な研究手法を体験する。","研究室配属等で医学研究の基本的な研究手法を体験する","生命科学の講義・実習で得た知識を基に、診療で経験した病態の解析ができる。","研究室配属等で医学研究の基本的な研究手法を習得する。","14, 15を考慮して、体験目標にしてみましたが、14,15があるので、削除でもいいかもしれません。ただその場合、実習という文言を残すかどうかは検討が必要です。また体験目標をできるだけ減らすために「習得」としました。",2.0,"","研究室配属等で医学研究の基本的な研究手法を習得する。","","研究者養成なのである程度の体験目標は止むを得ないと思います。","これも体験目標ですが、体験するでなく概説できる、または使用することができると動詞を変えてここに残すのがよいと思います。","","14に統合し、削除","","","１４と統合可能そうです。","","","","【宮地】14,15のみでよいか判断する上で、「研究者養成なので体験目標が必要」というご返答の内容についてもう少し解説を伺いたいです。"
"研究の実施","研究結果","研究データを適切に記録、管理することができる。","JkxpmjM","","研究データを適切に記録、管理することができる。","研究データを適切に記録・管理することができる","","研究データを適切に記録、管理することができる。","ママ",2.0,"","研究データを適切に記録、管理することができる。","新設","記録を加えました。","データ管理は学生の必須ではないと思いますので、適切な管理について述べることができる・・・程度では？","","","","","","","","",""
"研究の発信","研究発表","自身の行った研究内容を論文や報告書・学会発表などの形にまとめる","JkxpmjQ","A-02-02-na-03","自身の研究内容を論文や発表などの形にまとめわかりやすく説明できる。","自身の研究内容を論文や発表などの形にまとめわかりやすく説明できる","実験・実習の内容を決められた様式に従って文書と口頭で発表できる。","自身の行った研究内容を論文や報告書・学会発表などの形にまとめる","「自身の研究」が日本語としてわかりにくいので修正しました。あと「報告書」は残した方が良いと判断しました。",2.0,"","自身の行った研究内容を論文や報告書・学会発表などの形にまとめる","","１７，１８合体させました","全学生への目標としてよいでしょうか迷いますが、ほぼ全大学で基礎配属がされているという実情から見るといいかなと思いました","","「自身の行った研究内容を、指導医とともに、報告書、学会発表、論文などの形にまとめ、発信できる」","","","など、と記載されておりますが、全員が学会発表レベルとなると、旧帝大の人員でもきついのでは？学内発表会はJACMEでも推奨されますので、　　学会発表、学内発表などの・・・　　と、学内発表の追記がいいのでは？と思いました。","","17と18はまとめて「自身の行った研究内容を論文や報告書・学会発表などの形にまとめるてプレゼンテーションできる」でどうでしょうか。","",""
"研究の発信","研究発表","","JkxpmjU","","","削除：発表の場に応じて読者・聴衆にわかりやすく研究内容を説明できる","","発表の場に応じて読者・聴衆にわかりやすく研究内容をプレゼンテーションできる","プレゼン能力を強調する意味でこの項目を残すことを提案します。","","","","新設","１７，１８合体させました","上記項目とひとつにまとめる","","","","効果的なプレゼンテーションについては研究以外に症例発表でも重要なので、総論的なところで統合できないか？","１７と統合できそうです","","","",""
"研究の発信","研究発表","他の研究者の発表に対して質問や意見を述べることができる。","JkxpmjY","B-01-03-na-05","他の研究者の発表に対して質問や意見を述べることができる。","他の研究者の発表に対して質問や意見を述べることができる","得られた情報の批判的吟味ができる。","他の研究者の発表に対して質問や意見を述べることができる。","ママ",2.0,"","他の研究者の発表に対して質問や意見を述べることができる。","","","","","","","","","","","",""
"研究倫理","適切な研究遂行","捏造、改ざん、盗用などを含め研究不正の類型を説明することが出来、研究不正を行わない。","Jkxpmjc","B-03-01-na-01","捏造、改ざん、盗用などを含め研究不正の類型を説明することが出来、研究不正を行わない。","捏造、改ざん、盗用などを含め研究不正の類型を説明することが出来、研究不正を行わない","医学研究と倫理（それぞれの研究に対応した倫理指針と法律）を説明できる。","捏造、改ざん、盗用などを含め研究不正の類型を説明することが出来、研究不正を行わない。","ママ",2.0,"","捏造、改ざん、盗用などを含め研究不正の類型を説明することが出来、研究不正を行わない。","","","第４層がありませんので、記載をおねがいします","","","","","","","","",""
"研究倫理","対象者の保護","人を対象とした研究（治験、特定臨床研究を含む）に関するルールの概要を説明でき、遵守する。","Jkxpmjg","A-08-01-na-01, B-03-01-na-01,B-03-01-na-03,B-03-01-na-03, A-08-01-na-01","人を対象とした研究（治験、特定臨床研究等）に関するルールの概要を説明でき、遵守する。","人を対象とした研究（治験、特定臨床研究含む）に関するルールの概要を説明でき、遵守する","研究は、医学・医療の発展や患者の利益の増進を目的として行われるべきことを説明できる。,医学研究と倫理（それぞれの研究に対応した倫理指針と法律）を説明できる。,臨床試験・治験と倫理性（ヘルシンキ宣言、第Ⅰ・Ⅱ・Ⅲ・Ⅳ相試験、医薬品の臨床試験の実施の基準(Good Clinical Practice <GCP>)、治験審査委員会・倫理審査委員会(institutional review board <IRB>)）を説明できる。,臨床試験・治験と倫理性（ヘルシンキ宣言、第Ⅰ・Ⅱ・Ⅲ・Ⅳ相試験、医薬品の臨床試験の実施の基準(Good Clinical Practice <GCP>)、治験審査委員会・倫理審査委員会(institutional review board <IRB>)）を説明できる。,研究は、医学・医療の発展や患者の利益の増進を目的として行われるべきことを説明できる。","人を対象とした研究（治験、特定臨床研究を含む）に関するルールの概要を説明でき、遵守する。","ママ",2.0,"","人を対象とした研究（治験、特定臨床研究を含む）に関するルールの概要を説明でき、遵守する。","","実践を加えました","細かな項目記載も必要でしょうか、それなら別表？
情報（情報倫理）など他チームと重なる部分の整合を","","","","","","","","",""
"研究倫理","対象者の保護","利益相反や動物・遺伝子組み換え実験に関するルールを概説でき、遵守する。","Jkxpmjk","B-03-01-na-01","利益相反や動物・遺伝子組み換え実験に関するルールを概説でき、遵守する。","利益相反や動物・遺伝子組み換え実験に関するルールを概説でき、遵守する","医学研究と倫理（それぞれの研究に対応した倫理指針と法律）を説明できる。","利益相反や動物・遺伝子組み換え実験に関するルールを概説でき、遵守する。","ママ",2.0,"","利益相反や動物・遺伝子組み換え実験に関するルールを概説でき、遵守する。","","","ルールの概要を説明できる → ルールを概説できる","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","",18.0,"","","","","","","","","","","","","","","",""
