"臓器","分類","項目名","UID","H28対応項目","H28表記","修正提案(20220302)","査読コメント(20220302)","削除項目","追加項目","メモ","査読への返答","A","B","C","D","E","F","G","H","I"
"血液・造血器・リンパ系","疾患・病態","その他の重要な造血系疾患：無顆粒球症、血球貪食症候群（血球貪食性リンパ組織球症）、移植片対宿主病<GVHD>","JlAKpXQ","","","< >の修正","","","","医師国家試験出題基準から選択","","","","","","","","","",""
"神経系","構造と機能","中枢神経系と末梢神経系の構成","JlAKpXU","D-02-01-01-01","中枢神経系と末梢神経系の構成を概説できる。","","","D-02-01-03-03","","","","","","","","","","","",""
"神経系","構造と機能","脳の血管支配と血液脳関門","JlAKpXY","D-02-01-01-02","脳の血管支配と血液脳関門を説明できる。","","","D-02-01-04-02","","","","","","","","","","","",""
"神経系","構造と機能","脳のエネルギー代謝の特徴","JlAKpXc","D-02-01-01-03","脳のエネルギー代謝の特徴を説明できる。","","","","","","","","","","","","","","",""
"神経系","構造と機能","主な脳内神経伝達物質（アセチルコリン・ドパミン・ノルアドレナリン）とその作用","JlAKpXg","D-02-01-01-04","主な脳内神経伝達物質（アセチルコリン、ドパミン、ノルアドレナリン）とその作用を説明できる。","","","","","","","","","","","ノルアドレナリンは割愛できないか（精神科領域では重要かもしれないが）？","","","",""
"神経系","構造と機能","髄膜・脳室系の構造と脳脊髄液の産生と循環","JlAKpXk","D-02-01-01-05","髄膜・脳室系の構造と脳脊髄液の産生と循環を説明できる。","","","","","","","","","","","","","","",""
"神経系","構造と機能","脊髄の構造、機能局在と伝導路","JlAKpXo","D-02-01-02-01","脊髄の構造、機能局在と伝導路を説明できる。","","","","","","","","","","","","","","",""
"神経系","構造と機能","脊髄反射（伸張反射、屈筋反射）と筋の相反神経支配","JlAKpXs","D-02-01-02-02","脊髄反射（伸張反射、屈筋反射）と筋の相反神経支配を説明できる。","","","","","","","","","","","","","","",""
"神経系","構造と機能","脊髄神経と神経叢（頸・腕・腰仙骨）の構成および主な骨格筋支配と皮膚分布（デルマトーム）","JlAKpXw","D-02-01-02-03","脊髄神経と神経叢（頸神経叢、腕神経叢、腰神経叢、仙骨神経叢）の構成及び主な骨格筋支配と皮膚分布（デルマトーム）を概説できる。","","","","","","","","","","","","","","",""
"神経系","構造と機能","脳幹の構造と機能、および伝導路","JlAKpX0","D-02-01-03-01, D-02-01-03-03","脳幹の構造と伝導路を説明できる。,脳幹の機能を概説できる。","","","","","","","","","","","","","","",""
"神経系","構造と機能","脳神経の名称、核の局在、走行・分布と機能","JlAKpX4","D-02-01-03-02","脳神経の名称、核の局在、走行・分布と機能を概説できる。","","","","","","","","","","","","","","",""
"神経系","構造と機能","大脳の構造と大脳皮質の機能局在（運動野・感覚野・言語野）","JlAKpX8","D-02-01-04-01,D-02-01-04-02","大脳の構造を説明できる。,大脳皮質の機能局在（運動野・感覚野・言語野）を説明できる。","","","","","","","","","","","","","","",""
"神経系","構造と機能","辺縁系の構造と記憶・学習の機序との関連","JlAKpYA","D-02-01-04-03","記憶、学習の機序を辺縁系の構成と関連させて概説できる。","","","","","","","","","","","","","","",""
"神経系","構造と機能","錐体路を中心とした随意運動の発現機構","JlAKpYE","D-02-01-05-01","随意運動の発現機構を錐体路を中心として概説できる。","","","","","","","","","","","","","","",""
"神経系","構造と機能","小脳の構造と機能","JlAKpYI","D-02-01-05-02","小脳の構造と機能を概説できる。","","","","","","","","","","","","","","",""
"神経系","構造と機能","大脳基底核（線条体・淡蒼球・黒質）の線維結合と機能","JlAKpYM","D-02-01-05-03","大脳基底核（線条体、淡蒼球、黒質）の線維結合と機能を概説できる。","","","","","","","","","","","","","","",""
"神経系","構造と機能","痛覚、温度覚、触覚と深部感覚の受容機序と伝導路","JlAKpYQ","D-02-01-06-01","痛覚、温度覚、触覚と深部感覚の受容機序と伝導路を説明できる。","","","","","","","","","","","","","","",""
"神経系","構造と機能","視覚、聴覚・平衡覚、嗅覚、味覚の受容機序と伝導路","JlAKpYU","D-02-01-06-02","視覚、聴覚・平衡覚、嗅覚、味覚の受容機序と伝導路を概説できる。","","","","","","","","","","","","","","",""
"神経系","構造と機能","交感神経系と副交感神経系の中枢内局在、末梢分布、機能と伝達物質","JlAKpYY","D-02-01-07-01","交感神経系と副交感神経系の中枢内局在、末梢分布、機能と伝達物質を概説できる。","","","","","","","","","","","","","","",""
"神経系","構造と機能","内分泌および自律機能と関連づけた視床下部の構造と機能","JlAKpYc","D-02-01-07-02","視床下部の構造と機能を内分泌及び自律機能と関連付けて概説できる。","","","","","","","","","","","","","","",""
"神経系","構造と機能","ストレス反応と本能・情動行動の発現機序","JlAKpYg","D-02-01-07-03","ストレス反応と本能・情動行動の発現機序を概説できる。","","","","","","","","","","","","","","",""
"神経系","症候","頭痛","JlAKpYk","D-02-03-na-01, D-02-03-na-02, D-02-03-na-03, D-02-03-na-04, D-02-03-na-05","けいれん,意識障害・失神,めまい,頭痛,運動麻痺・筋力低下","","","","⑤運動麻痺・筋力低下、⑥歩行障害、⑦感覚障害","","","","","","","","","","",""
"神経系","症候","めまい","JlAKpYo","D-02-03-na-01, D-02-03-na-02, D-02-03-na-03, D-02-03-na-04, D-02-03-na-05","けいれん,意識障害・失神,めまい,頭痛,運動麻痺・筋力低下","","","","⑤運動麻痺・筋力低下、⑥歩行障害、⑦感覚障害","","","","","","","","","","",""
"神経系","症候","けいれん","JlAKpYs","D-02-03-na-01, D-02-03-na-02, D-02-03-na-03, D-02-03-na-04, D-02-03-na-05","けいれん,意識障害・失神,めまい,頭痛,運動麻痺・筋力低下","","","","⑤運動麻痺・筋力低下、⑥歩行障害、⑦感覚障害","","","","","","","","","","",""
"神経系","症候","意識障害","JlAKpYw","D-02-03-na-01, D-02-03-na-02, D-02-03-na-03, D-02-03-na-04, D-02-03-na-05","けいれん,意識障害・失神,めまい,頭痛,運動麻痺・筋力低下","","","","⑤運動麻痺・筋力低下、⑥歩行障害、⑦感覚障害","","","","","","","","","","",""
"神経系","症候","運動麻痺・筋力低下","JlAKpY4","D-02-03-na-01, D-02-03-na-02, D-02-03-na-03, D-02-03-na-04, D-02-03-na-05","けいれん,意識障害・失神,めまい,頭痛,運動麻痺・筋力低下","","","","⑤運動麻痺・筋力低下、⑥歩行障害、⑦感覚障害","","","","","","","","","","",""
"神経系","症候","歩行障害","JlAKpY8","D-02-03-na-01, D-02-03-na-02, D-02-03-na-03, D-02-03-na-04, D-02-03-na-05","けいれん,意識障害・失神,めまい,頭痛,運動麻痺・筋力低下","","","","⑤運動麻痺・筋力低下、⑥歩行障害、⑦感覚障害","","","","","","","","","","",""
"神経系","症候","感覚障害","JlAKpZA","D-02-03-na-01, D-02-03-na-02, D-02-03-na-03, D-02-03-na-04, D-02-03-na-05","けいれん,意識障害・失神,めまい,頭痛,運動麻痺・筋力低下","","","","⑤運動麻痺・筋力低下、⑥歩行障害、⑦感覚障害","","","","","","","","","","",""
"神経系","症候","認知障害","JlAKpZE","D-02-03-na-01, D-02-03-na-02, D-02-03-na-03, D-02-03-na-04, D-02-03-na-05","けいれん,意識障害・失神,めまい,頭痛,運動麻痺・筋力低下","","","","⑤運動麻痺・筋力低下、⑥歩行障害、⑦感覚障害","","","","","","","","","","",""
"神経系","症候","失語症・構音障害","JlAKpZI","D-02-03-01-01, D-02-03-01-02,　D-02-03-01-03, D-02-03-03-01, D-02-03-04-02, D-02-03-04-03","{not found: D-02-03-01-01},{not found:  D-02-03-01-02},{not found: 　D-02-03-01-03},歩行障害を病態に基づいて分類できる。,{not found:  D-02-03-04-02},{not found:  D-02-03-04-03}","","","D-02-03-04-01","","","","","","","","","","言語障害（失語症・構音障害）にするのはいかがでしょうか。","",""
"神経系","症候","振戦","JlAKpZM","D-02-03-01-01, D-02-03-01-02,　D-02-03-01-03, D-02-03-03-01, D-02-03-04-02, D-02-03-04-03","{not found: D-02-03-01-01},{not found:  D-02-03-01-02},{not found: 　D-02-03-01-03},歩行障害を病態に基づいて分類できる。,{not found:  D-02-03-04-02},{not found:  D-02-03-04-03}","","","D-02-03-04-01","","","","","","","","","","","",""
"神経系","症候","小脳性・前庭性・感覚性運動失調障害","JlAKpZQ","D-02-03-01-01, D-02-03-01-02,　D-02-03-01-03, D-02-03-03-01, D-02-03-04-02, D-02-03-04-03","{not found: D-02-03-01-01},{not found:  D-02-03-01-02},{not found: 　D-02-03-01-03},歩行障害を病態に基づいて分類できる。,{not found:  D-02-03-04-02},{not found:  D-02-03-04-03}","","","D-02-03-04-01","","","","","","","","","","","",""
"神経系","症候","不随意運動（ミオクローヌス・舞踏運動・ジストニア・固定姿勢保持困難・アテトーシス・チック）","JlAKpZU","D-02-03-01-01, D-02-03-01-02,　D-02-03-01-03, D-02-03-03-01, D-02-03-04-02, D-02-03-04-03","{not found: D-02-03-01-01},{not found:  D-02-03-01-02},{not found: 　D-02-03-01-03},歩行障害を病態に基づいて分類できる。,{not found:  D-02-03-04-02},{not found:  D-02-03-04-03}","","","D-02-03-04-01","","","","","","","","","","","",""
"神経系","症候","頭蓋内圧亢進（急性・慢性）","JlAKpZY","D-02-03-01-01, D-02-03-01-02,　D-02-03-01-03, D-02-03-03-01, D-02-03-04-02, D-02-03-04-03","{not found: D-02-03-01-01},{not found:  D-02-03-01-02},{not found: 　D-02-03-01-03},歩行障害を病態に基づいて分類できる。,{not found:  D-02-03-04-02},{not found:  D-02-03-04-03}","","","D-02-03-04-01","","","","","","","","","","","",""
"神経系","症候","脳ヘルニア","JlAKpZc","D-02-03-01-01, D-02-03-01-02,　D-02-03-01-03, D-02-03-03-01, D-02-03-04-02, D-02-03-04-03","{not found: D-02-03-01-01},{not found:  D-02-03-01-02},{not found: 　D-02-03-01-03},歩行障害を病態に基づいて分類できる。,{not found:  D-02-03-04-02},{not found:  D-02-03-04-03}","","","D-02-03-04-01","","","","","","","","","","","",""
"神経系","検査方法","脳・脊髄の画像検査（CT・MRI）","JlAKpZg","D-02-02-na-01","脳・脊髄のコンピュータ断層撮影(computed tomography <CT>)・磁気共鳴画像法(magnetic resonance imaging <MRI>)検査の適応と異常所見を説明し、結果を解釈できる。","","","","","CT, MRIのフルスペルを削除し簡略化","","","","","","","","","",""
"神経系","検査方法","神経系の電気生理学的検査(脳波検査、針筋電図検査、末梢神経伝導検査）","JlAKpZk","D-02-02-na-02","神経系の電気生理学的検査（脳波検査、筋電図、末梢神経伝導検査）で得られる情報を説明できる。","","","","","","","","","","","","","","",""
"神経系","特異的治療法","脳血管障害の急性期治療とリハビリテーション医療","JlAKpZo","D-02-04-01-02","脳血管障害の治療と急性期・回復期・維持期（生活期）のリハビリテーション医療を概説できる。","","","","","","","","","","","","","","",""
"神経系","疾患・病態","脳血管障害：脳出血、くも膜下出血、頭蓋内血腫、脳梗塞、一過性脳虚血発作、脳動脈瘤、脳動静脈奇形、もやもや病","JlAKpZs","D-02-04-01-01","脳血管障害（脳出血、くも膜下出血、頭蓋内血腫、脳梗塞、一過性脳虚血発作）の病態、症候と診断を説明できる。","","","","脳動脈瘤、脳動静脈奇形、もやもや病を追加","","","","","","","","","","",""
"神経系","疾患・病態","感染性・炎症性疾患・脱髄性疾患：脳炎・髄膜炎、脳症、脳膿瘍、多発性硬化症","JlAKpZw","D-02-04-03-01,D-02-04-03-02","脳炎・髄膜炎、脳症の病因、症候と診断を説明できる。,多発性硬化症の病態、症候と診断を説明できる。","","","","脳膿瘍を追加","","感染性疾患、脳症、脱髄性疾患はそれぞれ分離すべき","","","","","","","","",""
"神経系","疾患・病態","認知症と変性疾患：認知症（Alzheimer型・Lewy小体型・脳血管性）、Parkinson病、筋萎縮性側索硬化症、多系統萎縮症","JlAKpZ0","D-02-04-02-01,D-02-04-02-02,D-02-04-02-03,D-02-04-02-04,D-02-04-02-05","認知症の病因を列挙できる。,認知症をきたす主な病態（Alzheimer型認知症、Lewy小体型認知症、血管性認知症）の症候と診断を説明できる。,Parkinson病の病態、症候と診断を説明できる。,筋萎縮性側索硬化症を概説できる。,多系統萎縮症を概説できる。","英語カタカナ語問題","","","","","認知症と変性疾患は分離すべき","","","","","","","","",""
"神経系","疾患・病態","末梢神経・神経 筋接合部・筋疾患：ニューロパチー（栄養障害・中毒・遺伝性）、Guillain-Barré症候群、顔面神経麻痺（Bell麻痺を含む）、反回神経麻痺、主な神経痛（三叉・坐骨神経痛）、重症筋無力症、進行性筋ジストロフィー、周期性四肢麻痺","JlAKpZ4","D-02-04-05-01,D-02-04-05-02,D-02-04-05-03,D-02-04-05-04,D-02-04-06-01,D-02-04-06-02,D-02-04-06-03","ニューロパチーの病因（栄養障害、中毒、遺伝性）と病態を分類できる。,Guillain-Barré症候群の症候、診断を説明できる。,Bell麻痺の症候、診断を説明できる。,主な神経障害性疼痛（三叉・坐骨神経痛）を概説できる。,重症筋無力症の病態、症候と診断を説明できる。,進行性筋ジストロフィーの病因、分類、症候と診断を説明できる。,周期性四肢麻痺を概説できる。","","","","","","末梢神経、神経筋接合部、筋疾患はそれぞれ分離すべき","","","","","","","","",""
"神経系","疾患・病態","発作性・機能性・自律神経系疾患：全般てんかん、局在関連てんかん、慢性頭痛（片頭痛・緊張型頭痛）","JlAKpZ8","D-02-04-07-01,D-02-04-08-01","てんかんの分類、診断と治療を説明できる。,頭痛（偏頭痛、緊張型頭痛等）の分類、診断と治療を説明できる。","","","","","","「自律神経系」は医学用語として適切でない","","","","","","","","",""
"神経系","疾患・病態","頭部外傷：脳挫傷、脳震盪、びまん性軸索損傷、急性硬膜外血腫、硬膜下血腫（急性・慢性）、頭蓋骨骨折、頭部外傷後の高次機能障害","JlAKpaA","D-02-04-04-02,D-02-04-04-03","急性硬膜外・硬膜下血腫及び慢性硬膜下血腫の症候と診断を説明できる。,頭部外傷後の高次脳機能障害を説明できる。","","","D-02-04-04-01","脳挫傷、脳震盪、びまん性軸索損傷、頭蓋骨骨折","","","","","","","","","","",""
"神経系","疾患・病態","小児領域：熱性けいれん、脳性麻痺、水頭症","JlAKpaE","D-02-04-09-01,D-02-04-09-02","脳性麻痺の病因、病型、症候とリハビリテーションを説明できる。,水頭症の症候と治療を説明できる。","","","","熱性けいれん","","水頭症は小児のみでないので分離すべき","","","","","","","","",""
"神経系","疾患・病態","腫瘍性疾患：　※腫瘍の項目を参照","JlAKpaI","D-02-04-10-01","主な脳・脊髄腫瘍の分類と好発部位を説明し、病態を概説できる。","削除候補","","","","","","","","","","","","","",""
"皮膚系","構造と機能","皮膚の組織構造","JlAKpaM","D-03-01-na-01","皮膚の組織構造を図示して説明できる。","","","","","","","","","","","","","","",""
"皮膚系","構造と機能","皮膚の細胞動態と角化の機構","JlAKpaQ","D-03-01-na-02","皮膚の細胞動態と角化の機構を説明できる。","","","","","","","","","","","","","","",""
"皮膚系","構造と機能","皮膚の免疫防御能","JlAKpaU","D-03-01-na-03","皮膚の免疫防御能を説明できる。","","","","","","","","","","","","","","",""
"皮膚系","症候","皮疹（紅斑・紫斑・色素斑・丘疹・結節・腫瘤・水疱・膿疱・嚢腫・びらん・潰瘍・毛細血管拡張・硬化・瘢痕・萎縮・鱗屑・痂皮・苔癬化・壊疽）","JlAKpaY","D-03-03-na-01","発疹","","","","具体的な皮膚所見を加えました（医師国家試験ガイドラインに準じて）","発疹（rash）とは一過性の皮疹を総称する用語である。ゆえに皮疹にしませんか（そもそも班に通知をお願いしたいと思います。）","","","","","","","","","",""
"皮膚系","症候","そう痒","JlAKpac","D-03-03-na-01","発疹","","","","具体的な皮膚所見を加えました（医師国家試験ガイドラインに準じて）","発疹（rash）とは一過性の皮疹を総称する用語である。ゆえに皮疹にしませんか（そもそも班に通知をお願いしたいと思います。）","","","","","","","","","",""
"皮膚系","症候","粘膜疹","JlAKpag","D-03-03-na-01","発疹","","","","具体的な皮膚所見を加えました（医師国家試験ガイドラインに準じて）","発疹（rash）とは一過性の皮疹を総称する用語である。ゆえに皮疹にしませんか（そもそも班に通知をお願いしたいと思います。）","","","","","","","","","",""
"皮膚系","症候","脱毛","JlAKpak","D-03-03-na-01","発疹","","","","具体的な皮膚所見を加えました（医師国家試験ガイドラインに準じて）","発疹（rash）とは一過性の皮疹を総称する用語である。ゆえに皮疹にしませんか（そもそも班に通知をお願いしたいと思います。）","","","","","","","","","",""
"皮膚系","検査方法","皮膚検査法（硝子圧法・皮膚描記法(Darier 徴候)・Nikolsky 現象・Tzanck 試験・光線テスト）","JlAKpao","D-03-02-na-01","皮膚検査法（硝子圧法、皮膚描記法（Darier徴候）、Nikolsky現象、Tzanck試験、光線テスト）を概説できる。","","","","","","","","","","","","","","",""
"皮膚系","検査方法","皮膚アレルギー検査法（プリックテスト・皮内テスト・パッチテスト）","JlAKpas","D-03-02-na-02","皮膚アレルギー検査法（プリックテスト、皮内テスト、パッチテスト）を説明できる。","","","","","","","","","","","","","","",""
"皮膚系","検査方法","微生物検査法（検体採取法・苛性カリ<KOH>直接検鏡法）","JlAKpaw","D-03-02-na-03","微生物検査法（検体採取法、苛性カリ<KOH>直接検鏡法）を概説できる。","< >の修正","","","","","","","","","","","","","",""
"皮膚系","検査方法","ダーモスコピー","JlAKpa0","","","","","","新設","","","","","","","","","","",""
"皮膚系","特異的治療法","外用療法","JlAKpa4","","","","","","新設","","","","","","","","","","",""
"皮膚系","特異的治療法","凍結療法","JlAKpa8","","","","","","新設","","","","","","","","","","",""
"皮膚系","特異的治療法","光線療法（PUVA療法）","JlAKpbA","","","","","","新設","","","","","","","","","","",""
