"第2層","第3層","第4層","UID","H28対応項目","第4層(技術参与清書)","第4層(20220302査読直前)","H28表記","修正提案(20220302)","査読コメント(20220302)","チームからの返信
（原案どおりなら１、修正案に賛成なら２）","チームからのコメント（あれば）","第4層(計算列)","メモ","Unnamed: 14","#REF!","Unnamed: 16"
"協働実践","職種役割","多職種及び他の医療系学部の学生の中で自らの役割を果たせる。","Jkxp2H4","","多職種及び他学部の学生の中で自らの役割を果たせる。","多職種及び他学部の学生の中で自らの役割を果たせる。","","多職種及び他の医療系学部の学生の中で自らの役割を果たせる。","４に合わせて「他の医療系学部」としてみました。",2.0,"","多職種及び他の医療系学部の学生の中で自らの役割を果たせる。","新規","","",""
"協働実践","職種役割の貢献","","Jkxp2H8","","","削除：多職種及び他学部の学生から求められる自らの役割を担える。","","","",2.0,"","","新規","統合する","",""
"協働実践","関係性への働きかけ","","Jkxp2IA","","","削除：多職種及び他学部の学生と対等な関係を構築できる。","","","",2.0,"","","新規","削除する","",""
"協働実践","関係性への働きかけ","多職種及び他の医療系学部の学生とともに学びあい、成長できる。","Jkxp2IE","","多職種及び他学部の学生と一緒に学びあい、成長できる。","多職種及び他学部の学生と一緒に学びあい、成長できる。","","多職種及び他の医療系学部の学生とともに学びあい、成長できる。","一緒に→ともに、に変更しました",2.0,"","多職種及び他の医療系学部の学生とともに学びあい、成長できる。","新規","","",""
"協働実践","関係性への働きかけ","","Jkxp2II","","","削除：多職種及び他学部の学生との対人葛藤が起きないようにできる。","","","",2.0,"","","新規","削除する：","",""
"協働実践","関係性への働きかけ","対人関係や対人行動に関わる概念について理解している","Jkxp2Is","C-05-07-na-01,C-05-07-na-02,C-05-07-na-03,C-05-07-na-04","多職種及び学生間の対人関係や対人行動を説明できる。","多職種及び学生間の対人関係や対人行動を説明できる。","対人関係にかかわる心理的要因を概説できる。,人間関係における欲求と行動の関係を概説できる。,主な対人行動（援助、攻撃等）を概説できる。,集団の中の人間関係（競争と協同、同調、服従と抵抗、リーダーシップ）を概説できる。","対人関係や対人行動に関わる概念について理解している","「学生」という言葉が占める範囲が広いことと、H28年度版が多職種に限定されていないことを反映させました。教養教育で取り扱っていた心理学についての扱いが要検討。場合によっては総合に移動でもいいかもです。",2.0,"","対人関係や対人行動に関わる概念について理解している","修正：あえて、競争、服従、抵抗は書かず、リーダーシップは上記の包含されるため削除したが、多職種連携に限らない項目のようにも感じるが…","","","【宮地】「〜の対人関係や対人行動に関わる概念について理解している」"
"協働実践","自職種の省察","","Jkxp2IM","","","削除：自職種が持ちやすい価値観を説明できる。","","","",2.0,"","","新規","削除する","",""
"協働実践","自職種の省察","医師の役割を多職種及び他の医療系学部の学生に説明できる。","Jkxp2IQ","A-05-01-na-04","医師の役割を多職種及び他学部の学生に説明できる。","医師の役割を多職種及び他学部の学生に説明できる。","保健、医療、福祉と介護のチーム連携における医師の役割を説明できる。","医師の役割を多職種及び他の医療系学部の学生に説明できる。","４に合わせて「他の医療系学部」としてみました。12との整合性が要検討です。",2.0,"","医師の役割を多職種及び他の医療系学部の学生に説明できる。","修正：左記の学修目標では、保健、医療、福祉と介護のチーム連携における医師の役割を説明できると記載されていたが、患者やセッティングに応じて優先する職種が異なることもあるため、細かい文脈は方略に記載することを提案する。","","",""
"協働実践","自職種の省察","自らの価値観や言動について、多職種及び他の医療系学部の学生との関係性の中で、相対化できる。","Jk314Eo","","自らの価値観や言動を多職種及び他学部の学生間で相対化できる。","自らの価値観や言動を多職種及び他学部の学生間で相対化できる。","","自らの価値観や言動について、多職種及び他の医療系学部の学生との関係性の中で、相対化できる。","４に合わせて「他の医療系学部」としてみました。日本語がわかりやすくなるように修正しました。",2.0,"","自らの価値観や言動について、多職種及び他の医療系学部の学生との関係性の中で、相対化できる。","新規","","",""
"協働実践","他職種の理解","病院・診療所・施設などの職場環境やチームや部門などの所属に応じた他職種の役割を理解している","Jkxp2IY","A-05-01-na-02","他職種の役割を説明できる。","他職種の役割を説明できる。","医療チームの構成や各構成員（医師、歯科医師、薬剤師、看護師、その他の医療職）の役割分担と連携・責任体制を説明し、チームの一員として参加できる。","他職種の役割を理解している。","「理解している」にしました。","","","","修正：左記の学修目標の後半には、連携・責任体制を説明できるとなっており、学生に求める目標としては高いため、削除した。他職種も医療チームの構成や各構成員（医師、歯科医師、薬剤師、看護師、その他の医療職）と保健、医療、福祉と介護のチーム連携が別に分かれていたため、ここは統合し、他職種とし方略に記載することを提案する。","","","【宮地】結局は保健、福祉、介護職についての理解が他の学習目標（総合など）に必要なので、ここは「他職種の役割を理解している」でよいのでは。"
"協働実践","他職種の理解","","Jkxp2Ic","","","削除：他職種及び他学部の学生の価値観を説明できる。","","","","","","","新規","","",""
"協働実践","他職種の理解","","Jkxp2Ig","","他職種が働く職場環境について説明できる。","他職種が働く職場環境について説明できる。","","　","わざわざ職場環境を取り上げる理由は何か、チームリーダーに確認","","場や環境（診療所、在宅、大学、施設、など働く場に応じて）によってできる/求められることが変わる他職種について理解することを求めておりました。提案として、21と統合して「病院・診療所・施設などの職場環境やチームや部門などの所属に応じた他職種の役割を理解している。」はいかがでしょうか？","","新規","","",""
"","","","","","","","",11.0,"","","","","","","",""
