"第2層","第3層","第4層","UID","H28対応項目","第4層(技術参与清書)","第4層(20220302査読直前)","H28表記","修正提案(20220302)","査読コメント(20220302)","チームからの返信
（原案どおりなら１、修正案に賛成なら２）","チームからのコメント（あれば）","第4層(計算列)","メモ","査読への返答","A","B","C","D","E","F","G","H","I","Unnamed: 24","Unnamed: 25","査読への返答.1","A.1","B.1","C.1","D.1","E.1","F.1","G.1","H.1","Unnamed: 35","Unnamed: 36"
"社会保障","地域保健","","JkxoNtE","B-01-06-na-04","","削除：学校医、学校感染症、学校保健安全法等、学校保健を説明できる","各ライフステージの健康問題（母子保健、学校保健、産業保健、成人・高齢者保健）を説明できる。","","注釈要","","","","補足説明にする","統合したため削除","","","","","","","","","","","","","","","","","","","","","",""
"社会保障","地域保健","","JkxoNtI","","","削除:特定健康診査・特定保健指導、高齢者の医療の確保に関する法律（高齢者医療確保法）等、成人及び高齢者保健施策（介護予防含む）を説明できる。","","","注釈要","","","","補足説明にする","統合したため削除","新規になる理由はわかりますが、地域保健で8項目・・・もう少しまとめられないでしょうか","","","","","","","","","","","","新規になる理由はわかりますが、地域保健で8項目・・・もう少しまとめられないでしょうか","","","","","","","","",""
"社会保障","地域保健","","JkxoNtM","B-01-05-na-02","","削除：がん対策基本法、がん登録等の推進に関する法律等、がん対策を説明できる。","栄養、食育、食生活を説明できる。","","注釈要","","","","補足説明にする","統合したため削除","","","","","","","","","","","","","","","","","","","","","",""
"社会保障","地域保健","","JkxoNtQ","D-15-01-na-03,A-07-01-na-03,B-01-08-na-13","","削除:自殺対策基本法、精神保健福祉法等、精神衛生・心の健康に関する施策を説明できる。","精神科医療の法と倫理に関する必須項目（精神保健及び精神障害者福祉に関する法律、心神喪失者等医療観察法、インフォームド・コンセント）を説明できる。,地域包括ケアシステムの概念を理解し、地域における保健（母子保健、学校保健、成人・高齢者保健、地域保健、精神保健）・医療・福祉・介護の分野間及び多職種間（行政を含む）の連携の必要性を説明できる。,障害者福祉・精神保健医療福祉の現状と制度を説明できる。","","注釈要","","","","補足説明にする","統合したため削除","","","","","","","","","","","","","","","","","","","","","",""
"社会保障","地域保健","","JkxoNtU","B-01-08-na-13,D-14-04-01-09","","削除:8020、フッ化物の利用、全身の健康との関連等、歯科保健施策を説明できる。","障害者福祉・精神保健医療福祉の現状と制度を説明できる。,歯科疾患（う蝕、歯周病等）とその全身への影響や口腔機能管理を概説できる。","","注釈要","","","","補足説明にする","","","","","","","","8020「運動」でしょうか。","","","","","B-01-08-na-13は　障害者福祉・精神保健医療福祉。
D-14-04-01-09　歯科疾患（う蝕、歯周病等）とその全身への影響や口腔機能管理を概説できる　を追加。","","","","","","","8020「運動」でしょうか。","","",""
"社会保障","産業保健・環境保健","産業保健の意義、労働衛生の3管理等、産業保健の基本的な考え方を理解している。","JkxoNtY","B-01-06-na-04,B-01-08-na-04","産業保健の意義、労働衛生の3管理等、産業保健の基本的な考え方を説明できる。","産業保健の意義、労働衛生の3管理など、産業保健の基本的な考え方を説明できる。","各ライフステージの健康問題（母子保健、学校保健、産業保健、成人・高齢者保健）を説明できる。,産業保健（労働基準法等の労働関連法規を含む）を概説できる。","産業保健の意義、労働衛生の3管理等、産業保健の基本的な考え方を理解している。","理解しているに変更",2.0,"","産業保健の意義、労働衛生の3管理等、産業保健の基本的な考え方を理解している。","","","","","","","","","","","","","","","","","","","","","","","",""
"社会保障","産業保健・環境保健","産業保健・環境保健に関連する基本的な制度や法律を理解している。","JkxoNtc","B-01-08-na-04","産業保健・環境保健に関連する基本的な制度や法律を説明できる。","産業保健・環境保健に関連する基本的な制度や法律を説明できる。","産業保健（労働基準法等の労働関連法規を含む）を概説できる。","産業保健・環境保健に関連する基本的な制度や法律を理解している。","理解しているに変更",2.0,"","産業保健・環境保健に関連する基本的な制度や法律を理解している。","産業医の選任義務、労働安全衛生法、労働基準法等、産業保健の基本的な法令を説明できる。","ご指摘のように各論の説明を避けるため、産業保健・環境保健に関連する基本的な制度や法律を説明できる、とし各論はまとめました。","","","","","","","","","","","","","","","","","","","","","",""
"社会保障","産業保健・環境保健","労働災害及び職業性疾病とのその対策を理解している。","JkxoNtg","B-01-06-na-03","労働災害及び職業性疾病とのその対策を説明できる。","労働災害及び職業性疾病とのその対策を説明できる。","仕事と健康、環境と適応、生体環境系、病因と保健行動、環境基準と環境影響評価、公害と環境保全が健康と生活に与える影響を概説できる。","労働災害及び職業性疾病とのその対策を理解している。","理解しているに変更",2.0,"","労働災害及び職業性疾病とのその対策を理解している。","","","","","","","","","","","","","","","","","","","","","","","",""
"社会保障","産業保健・環境保健","有害物質による産業中毒とその対策を理解している。","JkxoNtk","E-05-03-01-02,E-05-03-01-03,E-05-03-01-04","有害物質による産業中毒とその対策を説明できる。","有害物質による産業中毒とその対策を説明できる。","一酸化炭素中毒の発生機序、症候、診断と治療法を説明できる。,有機リン剤、有機塩素剤と有機溶剤による中毒の機序、診断と治療を説明できる。,重金属、青酸、ヒ素、パラコート、自然毒による中毒を概説できる。","有害物質による産業中毒とその対策を理解している。","理解しているに変更",2.0,"","有害物質による産業中毒とその対策を理解している。","","","","","","","","","","","","","","","","","","","","","","","",""
"社会保障","産業保健・環境保健","","JkxoNto","","","削除:水道、建築物における衛生的環境の確保に関する法律（建築物衛生法）、住宅環境等、生活環境衛生施策を説明できる。","","","注釈要",2.0,"","","","統合したため削除","新設する理由はなんでしょうか？
 国試出題基準にも出てきますが、本当に法律を「説明できる」能力が必要なのか疑問です","","","","","","","","","","","「産業保健・環境保健に関連する基本的な制度や法律を説明できる。」の補足説明に記載します。","新設する理由はなんでしょうか？
 国試出題基準にも出てきますが、本当に法律を「説明できる」能力が必要なのか疑問です","","","","","","","","",""
"社会保障","産業保健・環境保健","","JkxoNts","B-01-06-na-03","","削除:環境基本法、公害、廃棄物の処理及び清掃に関する法律（廃棄物処理法）等、環境保全施策を説明できる。","仕事と健康、環境と適応、生体環境系、病因と保健行動、環境基準と環境影響評価、公害と環境保全が健康と生活に与える影響を概説できる。","","注釈要",2.0,"","","同上。","統合したため削除","医学生が細かい個別の法律を説明できる・・・は、外科の手術術式を選択できるや白血病の抗がん剤3種併用療法を述べられる、などと同様コアカリからも国試出題基準からも削除してはどうかと思います","","","","","","","","","","","","医学生が細かい個別の法律を説明できる・・・は、外科の手術術式を選択できるや白血病の抗がん剤3種併用療法を述べられる、などと同様コアカリからも国試出題基準からも削除してはどうかと思います","","","","","","","","",""
"社会保障","健康危機管理","健康危機の概念と種類、それらへの対応（リスクコミュニケーションを含む）について理解している。","JkxoNtw","","健康危機の概念と種類、それらへの対応（リスクコミュニケーションを含む）を説明できる。","健康危機の概念と種類、それらへの対応(リスクコミュニケーションを含む）を説明できる","","健康危機の概念と種類、それらへの対応（リスクコミュニケーションを含む）について理解している。","理解しているに変更",2.0,"","健康危機の概念と種類、それらへの対応（リスクコミュニケーションを含む）について理解している。","新規","24と統合し、まとめました。","","","句点","","","","","","","","","H28年版E-06-03-na-01「放射線リスクコミュニケーション」が今回は削除されており、こちらで触れることにしました。","","","句点","","","","","","",""
"社会保障","健康危機管理","","JkxoNt0","","","削除：健康危機時のリスクコミュニケーションを説明できる。","","","",2.0,"","","新規","","健康危機時のリスクコミュニケーションの意味が読み手に通じるでしょうか？
健康危機に関する上の項目まではよしとして、その際のコミュニケーションを学生に求めるのはいかがか（しかも説明できる・・・はナンセンス）","","","","","","","23と違いはありますでしょうか？","","","","","健康危機時のリスクコミュニケーションの意味が読み手に通じるでしょうか？
健康危機に関する上の項目まではよしとして、その際のコミュニケーションを学生に求めるのはいかがか（しかも説明できる・・・はナンセンス）","","","","","","","23と違いはありますでしょうか？","",""
"社会保障","健康危機管理","健康危機管理（食品感染症、放射線事故、災害等さまざまな有事）に関連する基本的な制度や法律を理解している。","JkxoNt4","B-01-08-na-11","健康危機管理（食品感染症、放射線事故、災害等さまざまな有事）に関連する基本的な制度や法律を説明できる。","健康危機管理（食品感染症、放射線事故、災害などさまざまな有事）に関連する基本的な制度や法律を説明できる。","感染症法・食品衛生法の概要と届出義務を説明できる。","健康危機管理（食品感染症、放射線事故、災害等さまざまな有事）に関連する基本的な制度や法律を理解している。","理解しているに変更",2.0,"","健康危機管理（食品感染症、放射線事故、災害等さまざまな有事）に関連する基本的な制度や法律を理解している。","","ご指摘のように各論の説明を避けるため、健康危機管理（食品感染症、放射線事故、災害などさまざまな有事）に関連する基本的な制度や法律を説明できる。としました","","","","","","","","","","","","法律関係（食品衛生法、食品営業、食中毒の状況等、食品衛生施策）は補足説明に記載します。","","","","","","","","","",""
"社会保障","健康危機管理","","JkxoNt8","B-01-08-na-11,C-03-01-02-02,E-02-02-na-07,E-02-02-na-08,E-02-01-na-07","","削除：感染症の予防及び感染症の患者に対する医療に関する法律（感染症法）、検疫法、予防接種法、新型インフルエンザ等対策特別措置法等、感染症対策を説明できる","感染症法・食品衛生法の概要と届出義務を説明できる。,ワクチンによるウイルス感染症予防の原理を説明できる。,予防接種について、適応と意義、種類とそれぞれの投与方法を説明できる。,感染症法を概説できる。,新興・再興感染症（中東呼吸器症候群(Middle East respiratory syndrome <MERS>)、ジカ熱、劇症型A群レンサ球菌感染症等）、人獣共通感染症、バイオテロに関連する感染症を列挙できる。","","注釈要",2.0,"","","","統合したため削除","旧Eの感染症領域との相談はされているでしょうか
社会チームは法律に特化して、その他は関係ないということと理解しました","","句点","","","","","","","","","補足説明で付記します。","旧Eの感染症領域との相談はされているでしょうか
社会チームは法律に特化して、その他は関係ないということと理解しました","","句点","","","","","","",""
"社会保障","健康危機管理","","JkxoNuA","A-07-01-na-06,G-04-01-07-06","","削除：災害対策基本法、災害救助法等、自然災害の対応を説明できる。","災害医療（災害時保健医療、医療救護班、災害派遣医療チーム(Disaster Medical Assistance Team <DMAT>)、災害派遣精神医療チーム(Disaster Psychiatric Assistance Team <DPAT>)、日本医師会災害医療チーム(Japan Medical Association Team <JMAT>)、災害拠点病院、トリアージ等）を説明できる。,地域の災害医療体制について学ぶ。","","注釈要",2.0,"","","","統合したため削除","法律を知っておくのが重要で、自然災害の対応の説明は二の次という意味ですね","","","","","","","","","","","補足説明で付記します。","法律を知っておくのが重要で、自然災害の対応の説明は二の次という意味ですね","","","","","","","","",""
"社会保障","健康危機管理","災害拠点病院、種々の活動チーム等、災害保健医療の意義を理解している。","JkxoNuE","G-04-01-07-06,B-01-07-na-06","災害拠点病院、種々の活動チーム等、災害保健医療の意義を理解できる。","災害拠点病院、種々の活動チーム等、災害保健医療の意義を理解できる。","地域の災害医療体制について学ぶ。,災害医療（災害時保健医療、医療救護班、災害派遣医療チーム<DMAT>、災害派遣精神医療チーム<DPAT>、日本医師会災害医療チーム<JMAT>、災害拠点病院、トリアージ等）を説明できる。","災害拠点病院、種々の活動チーム等、災害保健医療の意義を理解している。","理解しているに変更",2.0,"","災害拠点病院、種々の活動チーム等、災害保健医療の意義を理解している。","","意義を理解できる、という表現に変更。","多くの卒業生は医師となり災害専門家ではないと思われるのですが、そういう卒業生にとっても災害時の医療で担う責務は大きいと思います。
６年間で災害医療（すぐに経験するかもしれない）について何を学ぶべきかというメッセージを投げてほしいです","","","","","","","","「を説明できる」の前の半角スペース削除。","","","意義を理解できる、という表現に変更しました。","多くの卒業生は医師となり災害専門家ではないと思われるのですが、そういう卒業生にとっても災害時の医療で担う責務は大きいと思います。
６年間で災害医療（すぐに経験するかもしれない）について何を学ぶべきかというメッセージを投げてほしいです","","","","","","","","",""
"社会保障","健康危機管理","","JkxoNuI","E-06-04-na-02,E-02-01-na-07","","削除：放射線事故、テロリズム、国民保護法の適用事象等、種々の健康危機の種類別の対応を説明できる。","放射線災害・原子力災害でのメンタルヘルスを説明できる。,新興・再興感染症（中東呼吸器症候群(Middle East respiratory syndrome <MERS>)、ジカ熱、劇症型A群レンサ球菌感染症等）、人獣共通感染症、バイオテロに関連する感染症を列挙できる。","","",2.0,"","","","統合したため削除","","","","","","","","","","","","","","","","","","","","","",""
"疫学・医学統計","保健統計","主な人口統計（人口静態と人口動態）、疾病・障害の分類・統計（ICD等）を理解している。","JkxoNuM","B-01-04-na-01","主な人口統計（人口静態と人口動態）、疾病・障害の分類・統計（ICD等）を説明できる。","主な人口統計（人口静態と人口動態）、疾病・障害の分類・統計（ICD等）を説明できる。","人口統計（人口静態と人口動態）、疾病・障害の分類・統計（国際疾病分類(International Classification of Diseases <ICD>)等）を説明できる。","主な人口統計（人口静態と人口動態）、疾病・障害の分類・統計（ICD等）を理解している。","理解しているに変更",2.0,"","主な人口統計（人口静態と人口動態）、疾病・障害の分類・統計（ICD等）を理解している。","ICDの略語を削除","","","","","","","","ICDの和名は不要ではないでしょうか（略語集にも記載予定とのこと）。","","","","","","","","","","","","ICDの和名は不要ではないでしょうか（略語集にも記載予定とのこと）。","","",""
"疫学・医学統計","保健統計","平均寿命、健康寿命について説明できる。","JkxoNuQ","B-01-04-na-02","平均寿命、健康寿命を説明できる。","平均寿命、健康寿命を説明できる。","平均寿命、健康寿命を説明できる。","平均寿命、健康寿命について説明できる。","日本語の微修正",2.0,"","平均寿命、健康寿命について説明できる。","","","なぜこの二つだけ特別に挙げられるのでしょうか？
保健統計は大きな視野で2つの第四層くらいにまとめられませんか？","","","","","","","","","","","ICDは略語集に記載します。","なぜこの二つだけ特別に挙げられるのでしょうか？
保健統計は大きな視野で2つの第四層くらいにまとめられませんか？","","","","","","","","",""
"疫学・医学統計","保健統計","","JkxoNuU","","","削除：e-Stat（政府統計の窓口）を利用できる。","","","",2.0,"","","方略に送る","方略に送るため削除。","二つ上の項目と統合できると思います
利用できる・・・は到達目標なのか方略なのかも含めてご検討ください","","","","e-Statをとりあげるのであれば、せめてOECDのデータ利用も追記したい。あるいは全削除で良いのでは？","","","","","","","方略に移します。","二つ上の項目と統合できると思います
利用できる・・・は到達目標なのか方略なのかも含めてご検討ください","","","","e-Statをとりあげるのであれば、せめてOECDのデータ利用も追記したい。あるいは全削除で良いのでは？","","","","",""
"疫学・医学統計","疫学","公衆衛生と臨床の視点から見た疫学の役割を理解している。","JkxoNuY","","疫学の役割を公衆衛生と臨床の視点で説明できる。","疫学の役割を公衆衛生と臨床の視点で説明できる。","","公衆衛生と臨床の視点から見た疫学の役割を理解している。","理解しているに変更",2.0,"","公衆衛生と臨床の視点から見た疫学の役割を理解している。","新規","","","","","","","","","","","","","","","","","","","","","","",""
"疫学・医学統計","疫学","割合・比・率の違いおよび代表的な疫学指標（有病割合、リスク比、罹患率等）を理解している。","JkxoNuc","B-01-04-na-03","割合・比・率の違いを理解し、代表的な疫学指標（有病割合、リスク比、罹患率等）を説明できる。","割合・比・率の違いを理解し、代表的な疫学指標（有病割合、リスク比、罹患率等）を説明できる。","罹患率と発生割合の違いを説明できる。","割合・比・率の違いおよび代表的な疫学指標（有病割合、リスク比、罹患率等）を理解している。","理解しているに変更",2.0,"","割合・比・率の違いおよび代表的な疫学指標（有病割合、リスク比、罹患率等）を理解している。","","","","","","","","","","","","","","","","","","","","","","","",""
"疫学・医学統計","疫学","主なバイアス・交絡を例示できる。","JkxoNug","B-01-04-na-04","主なバイアス・交絡を例示できる。","主なバイアス・交絡を（例をあげて）説明できる。","疫学とその応用（疫学の概念、疫学指標（リスク比、リスク差、オッズ比）とその比較（年齢調整率、標準化死亡比(standardized mortality ratio <SMR>)）、バイアス、交絡）を説明できる。","主なバイアス・交絡を例示できる。","例示できるに変更",2.0,"","主なバイアス・交絡を例示できる。","","","","","","","","","","","","","","","","","","","","","","","",""
"疫学・医学統計","疫学","年齢調整における直接法と間接法の違いを説明できる。","JkxoNuk","B-01-04-na-04","年齢調整における直接法と間接法の違いを説明できる。","年齢調整における直接法と間接法の違いを説明できる。","疫学とその応用（疫学の概念、疫学指標（リスク比、リスク差、オッズ比）とその比較（年齢調整率、標準化死亡比(standardized mortality ratio <SMR>)）、バイアス、交絡）を説明できる。","年齢調整における直接法と間接法の違いを説明できる。","ママ",1.0,"","年齢調整における直接法と間接法の違いを説明できる。","","","","","","","","","","","","","","","","","","","","","","","",""
"疫学・医学統計","疫学","主な疫学の研究デザインとして、観察研究（記述研究、横断研究、症例対照研究、コホート研究）および介入研究（ランダム化比較試験等）を理解している。","JkxoNuo","B-01-03-na-03,F-02-02-na-03","主な疫学の研究デザイン（観察研究［記述研究、横断研究、症例対照研究、コホート研究］、介入研究（ランダム化比較試験等）を説明できる。","主な疫学の研究デザイン（観察研究［記述研究、横断研究、症例対照研究、コホート研究］、介入研究（ランダム化比較試験等）を説明できる。","研究デザイン（観察研究（記述研究、横断研究、症例対照研究、コホート研究）、介入研究（臨床研究、ランダム化比較試験）、システマティックレビュー、メタ分析（メタアナリシス））を概説できる。,研究デザイン（観察研究（記述研究、横断研究、症例対照研究、コホート研究）、介入研究（臨床研究、ランダム化比較試験）、システマティックレビュー、メタ分析（メタアナリシス）を概説できる。","主な疫学の研究デザインとして、観察研究（記述研究、横断研究、症例対照研究、コホート研究）および介入研究（ランダム化比較試験等）を理解している。","理解しているに変更",2.0,"","主な疫学の研究デザインとして、観察研究（記述研究、横断研究、症例対照研究、コホート研究）および介入研究（ランダム化比較試験等）を理解している。","","","","","","","","","","","","","","","","","","","","","","","","【宮地】かっこの記載のみ訂正が必要？：（観察研究[...、コホート研究]、介入研究[ランダム化比較試験等]）を理解している。"
"疫学・医学統計","疫学","急性感染症に特異的な疫学的アプローチを理解している。","JkxoNus","","急性感染症に特異的な疫学的アプローチを説明できる。","急性感染症に特異的な疫学的アプローチを説明できる。","","急性感染症に特異的な疫学的アプローチを理解している。","理解しているに変更",2.0,"","急性感染症に特異的な疫学的アプローチを理解している。","新規","疫学者との協議の結果であったが、「慢性疾患との対比」を削除した。","この項目のレベル感
旧性感染症と慢性疾患？ はたして第四層に入れるべきものか？","","","","各論知識で絶対必要とまでは言えないので割愛で良いのでは？","","","","","","","衛生学公衆衛生学教育協議会との協議の結果でしたが、「慢性疾患との対比」を削除しました。","この項目のレベル感
旧性感染症と慢性疾患？ はたして第四層に入れるべきものか？","","","","各論知識で絶対必要とまでは言えないので割愛で良いのでは？","","","","",""
