"第2層","第3層","第4層","UID","H28対応項目","H28表記","第4層(技術参与清書)","第4層(20220302査読直前)","修正提案(20220302)","査読コメント(20220302)","チームからの返信
（原案どおりなら１、修正案に賛成なら２）","チームからのコメント(あれば)","第4層(計算列)","メモ","メモ２","査読への返答","A","B","C","D","E","F","G","H","I","全体編集メモ"
"思いやり","他者理解と自己理解","自身の想像力の限界を認識した上で、他者を理解することに努める。","JkxiJVU","A-01-02-na-01,A-01-03-na-02","リスボン宣言等に示された患者の基本的権利を説明できる。,患者やその家族のもつ価値観や社会的背景が多様であり得ることを認識し、そのいずれにも柔軟に対応できる。","他者を理解するとはどういうことか考えを述べることができる。","他者を理解するとはどういうことか考えを述べることができる。","自身の想像力の限界を認識した上で、他者を理解することに努める。","行動レベルの文言に修正しました",2.0,"","自身の想像力の限界を認識した上で、他者を理解することに努める。","","プロフェッショナリズムという概念は多義的であるが、医学教育モデル・コア・カリキュラムでは「医療専門職としての倫理的態度」に焦点をあてて記述している","A: そもそも「他者理解」とは何か？という問いに変換しました。他者は理解できない、という前提があり、どこまで理解できるのだろうか、理解できるとはどういう状態なのだろうか、といったことを考えてほしいと意図を込めております。他者を理解しようとし続けることが、人（病める人）との関係を構築していく上で医療専門家には求められることだと思われます。C:自己理解については、総合の「省察」と、プロフェッショナリズムの5「自己の限界」と13「自分と自集団の持つ偏見」とで扱っています。E:漠然とした問いで、哲学的ではあるのですが、医療を実践する上では非常に重要な問いなのではないかと思っております。問いについては、全体会議を受けて平叙文としています。","一般論としての他者理解と自己理解は第３層ならOKですが、第４層は具体的な記載が必要
プロフェッショナリズムの１項目として何が求められるのでしょうか","","5で自己の限界しか触れないのであれば、ここは「自己と他者」を対象とするほうがいいのではないでしょうか。「自己と他者を理解するにはどうすればよいか？","","漠とした問なので割愛","","","","",""
"思いやり","他者理解と自己理解","他者を適切に理解するための妨げとなる自分や自集団の偏見とはどのようなものか考え、それらを意識して行動する。","JkxiJVY","A-01-03-na-02, A-01-02-na-01","患者やその家族のもつ価値観や社会的背景が多様であり得ることを認識し、そのいずれにも柔軟に対応できる。,リスボン宣言等に示された患者の基本的権利を説明できる。","他者を適切に理解するための妨げとなる自分や自集団の偏見を意識することができる。","他者を適切に理解するための妨げとなる自分や自集団の偏見を意識することができる。","他者を適切に理解するための妨げとなる自分や自集団の偏見とはどのようなものか考え、それらを意識して行動する。","行動レベルの文言に修正しました",2.0,"","他者を適切に理解するための妨げとなる自分や自集団の偏見とはどのようなものか考え、それらを意識して行動する。","","プロフェッショナリズムという概念は多義的であるが、医学教育モデル・コア・カリキュラムでは「医療専門職としての倫理的態度」に焦点をあてて記述している","C:自分たちの持つ価値観（いわゆるpositiveな方向性を持つもの）ではなく、偏見(negativeは方向性を持ち、見えないもの）に自覚的であることは非常に難しいと考えたため、この問いとしました。この偏見は、見えないがために他者を理解する上で気づかない障壁になっている可能性があるのではないか、と考えております。（これは「社会的公正教育」において指摘されていることで、例えば差別の問題、ジェンダーの問題などは、この「偏見」（あるいは「特権」）に自覚的でなければなかなか乗り越えることができない、と言われております。）","","","自分や自集団の偏見は妨げになることが多いですが、自分や自集団の持つ価値観を知ることは他者を適切に理解するために必要なことだと考えると、「他者を理解する上で影響しうる自分や自集団の価値観はどのようなものか？」","","","","","","",""
"思いやり","品格・礼儀","医師に求められる品格とはどのようなものかを考え、それを備えるように努める。","Jk3v49g","","","医師に求められる品格について考え適切に行動できる。","医師に求められる品格について考え適切に行動できる。","医師に求められる品格とはどのようなものかを考え、それを備えるように努める。","DOINGからBEINGになっています",2.0,"","医師に求められる品格とはどのようなものかを考え、それを備えるように努める。","","","{not found: Jk3v49g}","","","","","","","","","",""
"思いやり","品格・礼儀","礼儀正しく振る舞う。","JkxiJVc","","","礼儀正しさについて考え適切に行動できる。","礼儀正しさについて考え適切に行動できる。","礼儀正しく振る舞う。","シンプルにしました",2.0,"","礼儀正しく振る舞う。","","新設,プロフェッショナリズムという概念は多義的であるが、医学教育モデル・コア・カリキュラムでは「医療専門職としての倫理的態度」に焦点をあてて記述している","E:「一見無礼でも患者思い」は、外からみて「無礼」であっても患者さんと医師の関係性において適切な「礼節」であるという意味でしょうか？そうであればそれも「礼儀正しさ」であるといえるのかもしれない、と考えました。ここで記載した「礼儀」で想定していたのは「挨拶」を含む、非常に基本的な、関係を構築する上で必要な、相手を不快にさせない（相手に誤解させない）ような立ち居振る舞いについて、でした。","","","","","礼儀正しく振る舞うのが絶対の善という価値観は疑問、一見無礼でも患者思いの名医は存在しうる∴割愛","","","","",""
"社会正義","医療資源の公平な分配","医療資源を公平に分配するとはどういうことか考え、自らの意見を述べる。","JkxiJVg","","","医療資源を公平に分配するとはどういうことか考えを述べることができる。","医療資源を公平に分配するとはどういうことか考えを述べることができる。","医療資源を公平に分配するとはどういうことか考え、自らの意見を述べることができる。","日本語を一部修正","","医療資源を公平に分配するとはどういうことか考え、自らの意見を述べる。","","","新設, プロフェッショナリズムという概念は多義的であるが、医学教育モデル・コア・カリキュラムでは「医療専門職としての倫理的態度」に焦点をあてて記述している","C:入れ替えました。H:文頭に「以下について考え続けそして適切に行動できる」を付記しました。評価は難しいと思います。ここでは、「考え続け、それに基づき行動しようとすること」を重視しており、何が品格か定義し、評価することはあまり想定しておりません。","","","第３層が品格・礼儀の順なので、上記と入れ替え？","","","","","具体的な方略や評価が難しいように思います。「議論できる」くらいならいいと思いました。","",""
"削除：医療の質と患者安全","削除：患者安全","","JkxiJVk","","","","削除：以下について考え続けそして適切に行動できる：患者の安全を守るとはどういうことか？","","","","","","患者安全と医療の質に関しては全て「技能」チームへ移動：倫理的行動規範としてプロフェッショナリズムにも入るべきという議論があれば、プロフェッショナリズムで扱う","新設,プロフェッショナリズムという概念は多義的であるが、医学教育モデル・コア・カリキュラムでは「医療専門職としての倫理的態度」に焦点をあてて記述している","C:医療資源の公平な分配とはどういうことなのか？についてまず考える必要があると考え改訂しました。H:社会制度・医療制度とは関連がありますが、それら制度についてだけでなく、社会状況、人々の言説、医療現場の状況、自分の経験や価値観などを含め、多角的に「公平性」について考える必要があるのではないか、と考えこの問いを設定してみました。＞問いを平叙文にしましたが「考える」要素は残しました。","","","「医療資源の公平な分配を妨げる行動とはなにか。」","","","","","医療保険制度や社会制度と関連しますでしょうか","保留中。",""
"削除：医療の質と患者安全","削除：患者安全","","JkxiJVw","","","","削除：患者の安全を守るために個人及び組織はどんな行動ができるだろうか？","","","","","","","","{not found: JkxiJVw}","","","","","","","","","",""
"削除：医療の質と患者安全","削除：医療の質の維持と向上","","JkxiJV0","","","","削除：医療の質の維持と向上に寄与するために必要なことは何か？","","","","","","","","{not found: JkxiJV0}","","","","","","","","","",""
"教養","教養","人の生命に深く関わる医師に相応しい教養を身につける","Jli6cfw","","","","","命を扱い人間を相手にする医師に相応しい教養を身につける","教養教育の総論
新設です","","人の生命に深く関わる医師に相応しい教養を身につける","","","","{not found: Jli6cfw}","","","","","","","","","",""
"教養","教養","答えのない問いについて考え続ける","Jli6cf4","","","","","答えのない問いについて考え続ける","教養教育の総論
新設です",2.0,"","答えのない問いについて考え続ける","","","{not found: Jli6cf4}","","","","","","","","","",""
"","","","","","","","",14.0,"","","","","","","","","","","","","","","","",""
