"第2層","第3層","第4層","UID","H28対応項目","H28表記","第4層(技術参与清書)","第4層(20220302査読直前)","修正提案(20220302)","査読コメント(20220302)","チームからの返信
（原案どおりなら１、修正案に賛成なら２）","チームからのコメント（あれば）","第4層(計算列)","メモ","方略など","査読への返答","A","B","C","D","E","F","G","H","I","Unnamed: 25"
"医療者教育","医療者教育の実践","後輩や同僚等と協働して学修できる","JkxoFEk","","","後輩や同僚とともに協働学習を実践できる。","後輩や同僚とともに協働学習を実践できる。","後輩や同僚等と協働して学修できる","協働学習という概念を使わずにわかりやすい文言にしました",2.0,"","後輩や同僚等と協働して学修できる","新規","個人として、チームとして成長するための協働学習を経験するから改変","学生同士の医療者教育を強調した文言にして、より「教育」に能動的なかかわりの表現をのこした","個人としてはチームとしてと並列ですか？この「、」があると、個人として経験するという意味になっています。複文がいかようにも読めるので、修正を
経験する、という動詞が学生の卒業レベル？","","多職種連携で実践レベルを求めていますし、「〜成長するために協働学習ができる」でよいのでは？経験できることにとどめておく意味とは。","","多職種連携と統合（ここは割愛）で良いのでは？","","","協働学習を実践するだと方略、もしくは他職種連携と同様だと思いますし、教育方法として協働学習について認識してもらう、という意味では知識レベルでいいように思います。","多職種連携では実践をしています。また、第3層では「方略」とも記載がありますが、コアカリの賞に方略ができる場合、そことの整合性はどうされますでしょうか。",""
"医療者教育","医療者教育の実践","","JkxoFEo","","","","削除：教育設計の手法を理解した上で、後輩や同僚への教育を実践できる","","","","","","新規","インストラクショナルデザインの基本的な枠組みを理解し、それを実践できる、から改変","同上","インストラクショナルデザインは、教育学な用語で、一般的なコアカリ読者に対しては注釈が必要
理解し実践できる、は専門家レベル","","「インストラクショナルデザインを実践できる」だと日本語として意味が通らないのと、学生全員にIDを使ったプログラムのデザインができる機会を担保することは難しいと思うので、「〜を理解し、自身が受けるカリキュラムを分析することができる」ではどうでしょうか。","","専門的すぎるので割愛で良いのでは？","削除考慮。","コンピテンシーは生涯目標であるとしても、ここに記載があるのは学習目標なので、モデルコアカリキュラムにここまで書き込む必要性について、精査したほうがいいと思います","全ての学生がカリキュラム開発の機会があるわけではなさそうなので、実践レベルは専門的すぎるように思います。","医学生にインストラクショナルデザインの理解が求められるのかは要検討だと思います。",""
"医療者教育","医療者教育の実践","後輩や同僚等に対して、適切にフィードバックできる","JkxoFEs","","","後輩や同僚に対して、適切にフィードバックできる。","後輩や同僚に対して、適切にフィードバックできる。","後輩や同僚等に対して、ハラスメントにならないように留意しながら、適切にフィードバックできる。","査読者Aの学修者評価という文言については要検討。ハラスメントについて学生のうちから学んでおくといいかな、と考え追記しました。","その他","後輩や同僚等に対して、適切にフィードバックできる。(理由：ハラスメントに留意と書くことにより、そちらに主眼が移ってしまうことを懸念します。ただし、ハラスメントに関しては、触れた方がよいか、コミュチームと共有します）","","新規","フィードバックについての基本的な枠組みを理解し、それを実践できる","同上","学修者評価という文言を入れてほしいです
実践できる、は学生にそこまで機会があるかどうか","","「フィードバックの実践」を、自分がフィードバックをすることまで含めるとしたら、初期研修医でも全員できるわけではない状況だと思いますので、やや難しいと思います。「〜を理解し、それを指導医や多職種との間で活用できる」としては？卒後研修では360度評価があると思うので。","","","臨床実習の際の屋根瓦の指導を想定されていると思いますので、そこを明示すればわかりやすく敷居が下がりますし、将来に向けては臨床実習で実践できるように低学年からの学びが重要かもしれません。現在は、指導医講習会のレベルかもしれませんが。","コンピテンシーは生涯目標であるとしても、ここに記載があるのは学習目標なので、モデルコアカリキュラムにここまで書き込む必要性について、精査したほうがいいと思います","フィードバックについて知っておくことは大事だと思いますが、対象によって実践内容がことなると思いますので、ここでは「基本的枠組みをしる」まででもいいように思います。","フィードバックの基本的な枠組みを理解するだけでも十分かと思います。それを知っていれば、自分自身がフィードバックを受ける時に学びに昇華できます。",""
"医療者教育","医療者教育の実践","成人学習理論を活用し、後輩や同僚等に対して教育を実践できる。","JkxoFEw","","","成人学習理論を基盤に、後輩や同僚の教育を実践できる。","成人学習理論を基盤に、後輩や同僚の教育を実践できる。","成人学習理論を活用し、後輩や同僚等に対して教育を実践できる。","部活や塾講師などでも教育を実践している機会はあるだろうと想像しました。",2.0,"","成人学習理論を活用し、後輩や同僚等に対して教育を実践できる。","新規","成人学習理論の基本的な枠組みを理解し、それを意識した教育を提供できるから改変。学生同士で教え合ったりする機会は臨床実習でもその前でも作れると思うので、そういう時に実践して貰う、ということで可能なのでは","同上","成人学習理論は概説くらいが学生レベルでは？","","教育機会の提供を学生全員に担保するのは難しいと思います。「〜を理解し、それを意識して学ぶことができる」ではどうでしょうか。","","","これも、臨床実習の際の屋根瓦の指導を想定されていると思いますので、そこを明示すればわかりやすく敷居が下がりますし、将来に向けては重要かもしれません。","コンピテンシーは生涯目標であるとしても、ここに記載があるのは学習目標なので、モデルコアカリキュラムにここまで書き込む必要性について、精査したほうがいいと思います","大切なことだと思いますが実践レベルまでは求めなくてもいいように思います。","学生自身が、成人学習理論を理解し、それに基づいた学びを自分自身が実践できるというのが現実的なレベルかと思います。",""
"生涯学習","生涯学習の実践","医学知識が常に変わりゆくことを認識し、現時点での最善の医学情報にアクセスできる。","JkxoFEQ","A-09-01-na-01","生涯学習の重要性を説明できる。","医学知識が常に変わりゆくことを認識し、最善の医学情報にアクセスできる。
","医学知識が常に変わりゆくことを認識し、最善の医学情報にアクセスできる。
","医学知識が常に変わりゆくことを認識し、現時点での最善の医学情報にアクセスできる。","社会チーム内でのCurrent Bestという概念を反映させました",2.0,"","医学知識が常に変わりゆくことを認識し、現時点での最善の医学情報にアクセスできる。","生涯にわたる継続的学習に必要な情報を収集できる。を合わせ、内容も学生時代に獲得しておくべき","","第3層方略の文言を実践に変更しました（13を削除しまとめました）","","生涯学び続けることができる","「生涯学習の重要性を理解し、それに必要な情報を収集できる」","","","生涯学習の重要性を理解して、その学習基盤を身につける。？？","","","第3層では「方略」とも記載がありますが、コアカリの賞に方略ができる場合、そことの整合性はどうされますでしょうか。",""
"生涯学習","生涯学習の実践","","JkxoFEU","A-09-01-na-02","生涯にわたる継続的学習に必要な情報を収集できる。","","削除:生涯にわたる継続的学習に必要な情報を収集できる。","","","","","","ひとつ前の項と合体","","削除（12と合併）","","生涯学び続けるための方法を活用できる","12にまとめては？","","","","","","",""
"生涯学習","生涯学習の実践","学修・経験したことを省察し、自己の課題を明確にすることができる。","JkxoFEY","A-09-01-na-05","臨床実習で経験したことを省察し、自己の課題を明確にする。","学習・経験したことを省察し、自己の課題を明確にすることが出来る。","学習・経験したことを省察し、自己の課題を明確にすることが出来る。","学修・経験したことを省察し、自己の課題を明確にすることができる。","学習→学修",2.0,"","学修・経験したことを省察し、自己の課題を明確にすることができる。","H28「「臨床実習で経験したことを省察し、自己の課題を明確にする。」を改変。多職種とかぶるが、多職種連携の中で自職種の役割について自覚的である、という文脈で省察を使っているのでこことはイコールでなく両方にあってもいいのでは","","多職種連携の中で自職種の役割について自覚的である、という文脈で省察を使っているのでこことはイコールでなく両方にあってもいいのでは","他職種チームに省察に関するところがあるので、どのようにどちらに表記するか相談してください（生涯学修には必須だと思います）","","","","","","","","プロフェッショナリズム の「省察」との差異。","【宮地】出来る→できる？"
"生涯学習","キャリア開発","自身の職業観を涵養しながら、主体的にキャリアを構築していくことができる","JkxoFEc","A-09-01-na-03","キャリア開発能力を獲得する。","主体的なキャリア形成の必要性を理解し、自己の職業観を涵養する。","主体的なキャリア形成の必要性を理解し、自己の職業観を涵養する。","自身の職業観を涵養しながら、主体的にキャリアを構築していくことができる","より実践的な文言にしました。またこの項目を読んだキャリア支援担当の医学部の教員を想像しながら作ってみました。",2.0,"","自身の職業観を涵養しながら、主体的にキャリアを構築していくことができる","キャリア開発能力を獲得する。と次項、キャリアステージにより求められる能力に異なるニーズがあることを理解する。をまとめた","","主体的なキャリア形成の必要性を理解し、自己の職業観の涵養を行う姿勢を身につけると記載を変更して残した（16と合併）","「キャリア開発能力」という言葉（H28年から）は定義があるのでしょうか
今ひとつ、人によってとりようが変わる文言だと思います
獲得する（→できるの方がベター）という到達点が学生にとって相応しいでしょうか","","抽象度が高い気がします。「短・中・長期的な視点から、自分のキャリアを継続的に構築していくことができる」などどうでしょう？","","獲得したかどうかの判定が難しいので割愛しても良いのでは？","","","15と16は非常にあいまいな表現ですね。「医師のキャリア形成について概説できる」とかまとめてしまってもいいように思います。","",""
"生涯学習","キャリア開発","","JkxoFEg","A-09-01-na-04","キャリアステージにより求められる能力に異なるニーズがあることを理解する。","","削除:キャリアステージにより求められる能力に異なるニーズがあることを理解する。","","","","","","","","削除（15と合併）","いやぁ、学生さんにそんな「理解」は可能かなぁ。といいつつ、さまざまなキャリアがあることと違った能力が必要になるということを列挙できるとか概説できる、とかは要りそうですね","","","","問が漠然としているので削除で良いのでは？","","","同上","",""
"","","","","","","","",6.0,"","","","","","","","","","","","","","","","",""
