"門田ﾚﾎﾟｰﾄ分類","門田ﾚﾎﾟｰﾄ必須/推奨","門田ﾚﾎﾟｰﾄ
 項目","コアカリH28版
 （F/G領域）","コアカリR4版
 診療技能第2-第3層"
"救急※3","必須","ＡＥＤ※2","G-03-04-na-02,F-03-06-04-02","○対応実施-救急/初期対応"
"救急※3","推奨","電気ショック","G-03-04-na-03","◎対応実施-救急/初期対応"
"救急※3","推奨","気管挿管","×","◎対応実施-救急/初期対応"
"救急※3","推奨","固定など整形外科的保存療法","×","×"
"治療※4","必須","処方薬（内服薬、注射、点滴など）のオーダー","F-02-08-na-11","△情報の統合-治療<解釈＞"
"治療※4","必須","食事指示","×","※医学生には難しいか？"
"治療※4","必須","安静度指示","×","※医学生には難しいか？"
"治療※4","必須","定型的な術前・術後管理の指示","×","○情報の統合-治療<説明＞"
"治療※4","必須","酸素投与量の調整※5","×","※医学生には難しいか？"
"治療※4","必須","診療計画の作成","×","○情報の統合-治療<説明＞"
"治療※4","推奨","健康教育","×","◎情報の統合-教育計画"
"","","","",""
"※１：診療参加型臨床実習実施ガイドライン「学生による診療録記載と文章作成について」を参考に記載","","","",""
"※２：特にシミュレータによる修得ののちに行うべき","","","",""
"※３：実施機会がない場合には、 シミュレータによる修得も可である","","","",""
"※４：指導医等の確認後に実行される必要がある","","","",""
"※５：酸素投与を実施している患者が対象","","","",""
