"第2層","第3層","第4層","UID","H28対応項目","H28表記","第4層(技術参与清書)","第4層(20220302査読直前)","修正提案(20220302)","査読コメント(20220302)","全体編集コメント","チームからの返信（原案どおりなら１、修正案に賛成なら２）","チームからのコメント（あれば）","第4層(計算列)","メモ","査読への返答","A","B","C","D","E","F","G","H","I","Unnamed: 25"
"患者の情報収集","身体所見","部位毎の身体診察[@tbl:身体診察]ができる。","","F-03-02-na-04","診察時に患者に適切な体位（立位、座位、半座位、臥位、砕石位）を説明できる。","","","部位毎の身体診察[@tbl:身体診察]ができる。","新設","",2.0,"","部位毎の身体診察[@tbl:身体診察]ができる。","","","","","","","","","","","",""
"患者の情報収集","身体所見","","JkxirtA","F-03-05-03-01","頭部（顔貌、頭髪、頭皮、頭蓋）の診察ができる。","頭部（顔貌、頭髪、頭皮、頭蓋）の診察ができる。","頭部（顔貌、頭髪、頭皮、頭蓋）の診察ができる。","","別表に","","","","","","技能で審議しこのままとしました","","","","","","の診察を行い、主な異常の有無を指摘できる。","","","",""
"患者の情報収集","身体所見","","JkxirtE","F-03-05-03-02","眼（視野、瞳孔、対光反射、眼球運動・突出、結膜）の診察ができる。","眼（視野、瞳孔、対光反射、眼球運動・突出、結膜）の診察ができる。","眼（視野、瞳孔、対光反射、眼球運動・突出、結膜）の診察ができる。","","別表に","","","","","","技能で審議しこのままとしました","","","","","","の診察を行い、主な異常の有無を指摘できる。","","","",""
"患者の情報収集","身体所見","","JkxirtI","F-03-05-03-03","耳（耳介、聴力）の診察ができる。","耳（耳介、聴力）の診察ができる。","耳（耳介、聴力）の診察ができる。","","別表に","","","","","","技能で審議しこのままとしました","","","","","","の診察を行い、主な異常の有無を指摘できる。","","","",""
"患者の情報収集","身体所見","","JkxirtM","F-03-05-03-04","耳鏡で外耳道、鼓膜を観察できる。","耳鏡で外耳道、鼓膜を観察できる。","耳鏡で外耳道、鼓膜を観察できる。","","別表に","","","","","","","","","","","","","","","",""
"患者の情報収集","身体所見","","JkxirtQ","F-03-05-03-06","口唇、口腔、咽頭、扁桃の診察ができる。","口唇、口腔、咽頭、扁桃の診察ができる。","口唇、口腔、咽頭、扁桃の診察ができる。","","別表に","","","","","","技能で審議しこのままとしました","","","","","","の診察を行い、主な異常の有無を指摘できる。","","","",""
"患者の情報収集","身体所見","","JkxirtU","F-03-05-03-07","鼻腔、副鼻腔の診察ができる。","副鼻腔の診察ができる。","副鼻腔の診察ができる。","","別表に","","","","","","","","","","","","","","","",""
"患者の情報収集","身体所見","","JkxirtY","F-03-05-03-08","鼻鏡を用いて前鼻腔を観察できる。","鼻鏡を用いて前鼻腔を観察できる。","鼻鏡を用いて前鼻腔を観察できる。","","別表に","","","","","","","","","","","","","","","",""
"患者の情報収集","身体所見","","Jkxirtc","F-03-05-03-09","甲状腺、頸部血管、気管、唾液腺の診察ができる。","甲状腺、頸部血管、気管、唾液腺の診察ができる。","甲状腺、頸部血管、気管、唾液腺の診察ができる。","","別表に","","","","","","技能で審議しこのままとしました","","","","","","の診察を行い、主な異常の有無を指摘できる。","","","",""
"患者の情報収集","身体所見","","Jkxirtg","F-03-05-03-10","頭頸部リンパ節の診察ができる。","頭頸部リンパ節の診察ができる。","頭頸部リンパ節の診察ができる。","","別表に","","","","","","技能で審議しこのままとしました","","","","","","の診察を行い、主な異常の有無を指摘できる。","","","",""
"患者の情報収集","身体所見","","Jkxirtk","F-03-05-04-01","胸部の視診、触診、打診ができる。","胸部の視診、触診、打診ができる。","胸部の視診、触診、打診ができる。","","別表に","","","","","","技能で審議しこのままとしました","","","","","","の診察を行い、主な異常の有無を指摘できる。","","","",""
"患者の情報収集","身体所見","","Jkxirto","F-03-05-04-02","呼吸音と副雑音の聴診ができる。","呼吸音と副雑音の聴診ができる。","呼吸音と副雑音の聴診ができる。","","別表に","","","","","","技能で審議しこのままとしました","","","","","","を行い、主な異常の有無を指摘できる。","","","",""
"患者の情報収集","身体所見","","Jkxirts","F-03-05-04-03","心音と心雑音の聴診ができる。","心音と心雑音の聴診ができる。","心音と心雑音の聴診ができる。","","別表に","","","","","","技能で審議しこのままとしました","","","","","","を行い、主な異常の有無を指摘できる。","","","",""
"患者の情報収集","身体所見","","Jkxirtw","F-03-05-05-01,F-03-05-05-03,F-03-05-05-02,F-03-05-05-04,F-03-05-05-05","腹部の視診、聴診ができる。,圧痛、腹膜刺激徴候、筋性防御の有無を判断できる。,区分に応じて腹部の打診、触診ができる。,腹水の有無を判断できる。,腸雑音、血管雑音の聴診ができる。","腹部の視診、聴診（腸雑音、血管雑音）、打診、触診ができる。","腹部の視診、聴診(腸雑音、血管雑音)、打診、触診ができる。","","別表に","","","","","","技能で審議しこのままとしました","","","","","","を行い、主な異常の有無を指摘できる。","","","",""
"患者の情報収集","身体所見","","JkxiruE","F-03-05-04-04","背部の叩打痛を確認できる。","背部の叩打痛を確認できる。","背部の叩打痛を確認できる。","","別表に","","","","","","技能で審議しこのままとしました","","","","","","を行い、主な異常の有無を指摘できる。","","","",""
"患者の情報収集","身体所見","","JkxiruI","F-03-05-05-06","直腸（前立腺を含む）指診を実施できる（シミュレータでも可とする）。","直腸（前立腺を含む）指診を実演できる。","直腸（前立腺を含む）指診を実演できる。","","別表に","","","","","実施できる→実演できるでは?(近藤)","技能で審議しこのままとしました。実施と実演に関しては別途注釈予定。","実施と実演の違いは？
シミュレータについて考慮しているなら記載した方がよいのでは（方略ですが）","","","","","","","実際にやるかどうかはともかくとして実施できるでいいと思います","",""
"患者の情報収集","身体所見","","JkxiruM","F-03-05-04-05","乳房の診察を実施できる（シミュレータでも可とする）。","乳房の診察を実演できる。","乳房の診察を実演できる。","","別表に","","","","","実施できる→実演できるでは?(近藤)","技能で審議しこのままとしました。実施と実演に関しては別途注釈予定。","実施と実演の違いは？
シミュレータについて考慮しているなら記載した方がよいのでは（方略ですが）","","","","","を行い、主な異常の有無を指摘できる。","","実際にやるかどうかはともかくとして実施できるでいいと思います","",""
"患者の情報収集","身体所見","","JkxiruQ","F-03-05-06-01","意識レベルを判定できる。","意識レベルを判定できる。","意識レベルを判定できる。","","別表に","","","","","","技能で審議しこのままとしました","JCS◯◯とかグラスゴー◯◯とかが判定できればよい？それとも意識レベルについて判断できるレベルを求める？","","","","","","","","",""
"患者の情報収集","身体所見","","JkxiruU","F-03-05-06-02,G-03-02-na-06,F-03-05-03-05","脳神経系の診察ができる（眼底検査を含む）。,視力、視野、聴力、平衡機能検査を実施できる。,音叉を用いて聴力試験を実施できる。","脳神経系の診察ができる。","脳神経系の診察ができる（眼底検査を含む）。","","別表に","","","","","","技能で審議しこのままとしました","","眼底検査は別でもいいかも","","","","の診察を行い、主な異常の有無を指摘できる。眼底検査の実施は、不要では？学生に眼底鏡で診察させている大学あるでしょうか？","","","",""
"患者の情報収集","身体所見","","","","","眼底検査ができる。","脳神経系の診察ができる（眼底検査を含む）。","","別表に","","","","","脳神経検査から分離","","","","","","","","","","",""
"患者の情報収集","身体所見","","JkxiruY","F-03-05-06-03","腱反射の診察ができる。","腱反射の診察ができる。","腱反射の診察ができる。","","別表に","","","","","","技能で審議しこのままとしました","","","","","","の診察を行い、主な異常の有無を指摘できる。","","","",""
"患者の情報収集","身体所見","","Jkxiruc","F-03-05-06-04","小脳機能・運動系の診察ができる。","小脳機能・運動系の診察ができる。","小脳機能・運動系の診察ができる。","","別表に","","","","","","技能で審議しこのままとしました","","","","","","の診察を行い、主な異常の有無を指摘できる。","","","",""
"患者の情報収集","身体所見","","Jkxirug","F-03-05-06-05","感覚系（痛覚、温度覚、触覚、深部感覚）の診察ができる。","感覚系（痛覚、温度覚、触覚、深部感覚）の診察ができる。","感覚系（痛覚、温度覚、触覚、深部感覚）の診察ができる。","","別表に","","","","","","技能で審議しこのままとしました","","","","","","の診察を行い、主な異常の有無を指摘できる。","","","",""
"患者の情報収集","身体所見","","Jkxiruk","F-03-05-06-06","髄膜刺激所見（項部硬直、Kernig徴候）を確認できる。","髄膜刺激所見を確認できる。","髄膜刺激所見を確認できる。","","別表に","","","","","（項部硬直、Kernig徴候）を削除(2022/2/7)(近藤)","対応しました","","","","","Kernig徴候：陰性尤度比が1に近く（陰性でも腰椎穿刺は必要）、k値も低い（判定が難しい）ので割愛で良いのでは？","を行い、異常の有無を指摘できる。","","","",""
"患者の情報収集","身体所見","","Jkxiruo","F-03-05-07-01","四肢と脊柱（弯曲、疼痛）の診察ができる。","四肢と脊柱（弯曲、疼痛）の診察ができる。","四肢と脊柱（弯曲、疼痛）の診察ができる。","","別表に","","","","","","技能で審議しこのままとしました","","","","","","の診察を行い、主な異常の有無を指摘できる。","","","",""
"患者の情報収集","身体所見","","Jkxiruw","F-03-05-07-02","関節（可動域、腫脹、疼痛、変形）の診察ができる。","関節（可動域、腫脹、疼痛、変形）の診察ができる。","関節（可動域、腫脹、疼痛、変形）の診察ができる。","","別表に","","","","","","技能で審議しこのままとしました","","","","","","の診察を行い、主な異常の有無を指摘できる。","","","",""
"患者の情報収集","身体所見","","Jkxiru0","F-03-05-07-03","筋骨格系の診察（徒手筋力テスト）ができる。","筋骨格系の診察（徒手筋力テスト）ができる。","筋骨格系の診察（徒手筋力テスト）ができる。","","別表に","","","","","","技能で審議しこのままとしました","","","","","","を行い、異常の有無を指摘できる。","","","",""
"患者の情報収集","身体所見","主要診療科[@tbl:主要診療科]において必要な診察ができる。","Jkxiru4","G-04-02-01-04,G-04-02-02-04,G-04-02-03-04,G-04-02-04-04,G-04-02-05-04,G-04-02-06-04,G-04-02-07-04,G-04-02-08-04,G-04-02-09-04,G-04-02-10-04,G-04-02-11-04,G-04-02-13-03,G-04-02-14-04,G-04-02-15-04,G-04-01-01-05,G-04-01-03-06,F-03-05-08-06,G-04-01-04-06","該当診療科の基本的な診察技能について学ぶ。,該当診療科の基本的な診察技能について学ぶ。,該当診療科の基本的な診察技能について学ぶ。,該当診療科の基本的な診察技能について学ぶ。,該当診療科の基本的な診察技能について学ぶ。,該当診療科の基本的な診察技能について学ぶ。,該当診療科の基本的な診察技能について学ぶ。,該当診療科の基本的な診察技能について学ぶ。,該当診療科の基本的な診察技能について学ぶ。,該当診療科の基本的な診察技能について学ぶ。,該当診療科の基本的な診察技能について学ぶ。,該当診療科の基本的な診察技能について学ぶ。,該当診療科の基本的な診察技能について学ぶ。,該当診療科の基本的な診察技能について学ぶ。,基本的な内科的診察技能について学ぶ。,基本的な小児科診察技能について学ぶ。,基本的な小児科診察ができる。,基本的な婦人科診察技能について学ぶ。","主要診療科[^table:主要診療科]における診察ができる。","主要診療科[^table:主要診療科]における診察ができる。","主要診療科[@tbl:主要診療科]において必要な診察ができる。","「主要診療科における診察」が何を指すのかわかりにくいと考え、「必要な診察」としました。","",2.0,"","主要診療科[@tbl:主要診療科]において必要な診察ができる。","以下から統合(脳神経外科,泌尿器科,麻酔科,リハビリテーション科,眼科,歯科口腔外科,皮膚科,病理診断科,臨床検査科,放射線科,耳鼻咽喉科,形成外科,整形外科,その他)(近藤)","基本診療科は別表に記載される診療科を指します。","別テーブルによる記載は冗長な繰り返しを避ける意味で良い考えだと思います","「診療技能」という言葉が抽象的","11から40までの診察技能とはまた別に何か必要な診察技能があるということでしょうか？それであれば明記したほうがよいのでは？","","基本診療科の定義が不明（新専門医制度の基本19領域を指すのであれば、広すぎて不適）では？","基本診療科[^table:基本診療科]において・・・・・・・。』の記述ですが、主に記載されている診察以外に各診療科の診察で、将来、何科に進むにも大切な診察を教えてほしい意味で、記載されていたと思います。現在のところ、主な診察手技の記載では、皮膚所見が見当たりません？？が、それ以外は、ほぼ診察は網羅されて記載されているように思われます。救急、等他も、現在記載されているもので大丈夫であれば、この項目は削除でもよいと思ますが、このような経過があったと思いますので、報告いたします。
その後も何度か　基本診療科[^table:基本診療科]において　　・・・　が出てきます。鑑別、検査、治療等。","","診療技能、が何をさすのかが難しいですね","",""
"患者情報の統合、分析と評価、診療計画","カルテ記載","適切に患者の情報を収集し、問題志向型医療記録<POMR>を作成できる。","Jkxiru8","F-03-03-na-01,G-03-01-na-16","適切に患者の情報を収集し、問題志向型医療記録<POMR>を作成できる。,診療録（カルテ）を作成する。","適切に患者の情報を収集し、問題志向型医療記録（POMR）を作成できる。","適切に患者の情報を収集し、問題志向型医療記録<POMR>を作成できる。","適切に患者の情報を収集し、問題志向型医療記録（POMR）を作成できる。","ママ","",1.0,"","適切に患者の情報を収集し、問題志向型医療記録<POMR>を作成できる。","","","","","","","","","","","",""
"患者情報の統合、分析と評価、診療計画","カルテ記載","診療経過をSOAP（主観的所見・客観的所見・評価・計画）で記載できる。","JkxirvA","F-03-03-na-02","診療経過を主観的所見・客観的所見・評価・計画<SOAP>で記載できる。","診療経過をSOAP（主観的所見・客観的所見・評価・計画）で記載できる。","診療経過を主観的所見・客観的所見・評価・計画<SOAP>で記載できる。","診療経過をSOAP（主観的所見・客観的所見・評価・計画）で記載できる。","ママ","",2.0,"","診療経過をSOAP（主観的所見・客観的所見・評価・計画）で記載できる。","","","","","","","","","","","",""
"患者情報の統合、分析と評価、診療計画","カルテ記載","過去の診療経過をまとめて診療録に記載できる","JkxirvE","","","過去の診療経過をまとめて診療録に記載できる。","過去の診療経過をまとめて診療録に記載できる","過去の診療経過をまとめて診療録に記載できる。","ママ","",1.0,"","過去の診療経過をまとめて診療録に記載できる","カルテ→診療録(2022/2/7)(近藤),新設、第2層「情報収集」に存在した第3層「検査結果」及び「治療経過」は過去の資料の収集を意図したものであったため、「カルテ記載」に移動した(近藤)","病歴・身体所見に加えて過去の情報の収集ということを意図しました","情報チームと協働して、電子カルテへの記載についても考えてください
（診療技能としてのカルテ記載は技能、電カルについての技能や態度は情報になるとは思いますが、相互に参照できるようなあるとベターです）","","","","","カルテ記載は、診療参加の本幹であり、強調してもよいのではとおもいました。定期的にサマリーを記載できる。などは、教える立場の意識改革にもつながり重要なのでは。本当は、退院総括が理想ですが。","","サマリーという意味でしょうか？あえて新設した意義は？","",""
"患者情報の統合、分析と評価、診療計画","臨床推論","主要症候[@tbl:主要症候]について原因と病態生理を理解している。","JkxirvI","F-01-01-na-01,F-01-02-na-01,F-01-03-na-01,F-01-04-na-01,F-01-05-na-01,F-01-06-na-01,F-01-07-na-01,F-01-08-na-01,F-01-09-na-01,F-01-10-na-01,F-01-11-na-01,F-01-12-na-01,F-01-13-na-01,F-01-14-na-01,F-01-15-na-01,F-01-16-na-01,F-01-17-na-01,F-01-18-na-01,F-01-19-na-01,F-01-20-na-01,F-01-21-na-01,F-01-22-na-01,F-01-23-na-01,F-01-24-na-01,F-01-25-na-01,F-01-26-na-01,F-01-27-na-01,F-01-28-na-01,F-01-29-na-01,F-01-30-na-01,F-01-31-na-01,F-01-32-na-01,F-01-33-na-01,F-01-34-na-01,F-01-35-na-01,F-01-36-na-01,F-01-37-na-01,F-03-01-na-04,G-04-01-03-01","発熱の原因と病態生理を説明できる。,全身倦怠感の原因と病態生理を説明できる。,食思(欲)不振の原因と病態生理を説明できる。,体重減少・体重増加の原因と病態生理を説明できる。,ショックの原因と病態生理を説明できる。,心停止の原因と病態生理を説明できる。,意識障害・失神の原因と病態生理を説明できる。,けいれんの原因と病態生理を説明できる。,めまいの原因と病態生理を説明できる。,脱水の原因と病態生理を説明できる。,浮腫の原因と病態生理を説明できる。,発疹の原因と病態生理を説明できる。,咳・痰の原因と病態生理を説明できる。,血痰・喀血の原因と病態生理を説明できる。,呼吸困難の原因と病態生理を説明できる。,胸痛の原因と病態生理を説明できる。,動悸の原因と病態生理を説明できる。,胸水の原因と病態生理を説明できる。,嚥下困難・障害の原因と病態生理を説明できる。,腹痛の原因と病態生理を説明できる。,悪心・嘔吐の原因と病態生理を説明できる。,吐血・下血の原因と病態生理を説明できる。,便秘・下痢の原因と病態生理を説明できる。,黄疸の原因と病態生理を説明できる。,腹部膨隆（腹水を含む）・腫瘤の原因と病態生理を説明できる。,貧血の原因と病態生理を説明できる。,リンパ節腫脹の原因と病態生理を説明できる。,尿量・排尿の異常の原因と病態生理を説明できる。,血尿・タンパク尿の原因と病態生理を説明できる。,月経異常の原因と病態生理を説明できる。,不安・抑うつの原因と病態生理を説明できる。,もの忘れの原因と病態生理を説明できる。,頭痛の原因と病態生理を説明できる。,運動麻痺・筋力低下の原因と病態生理を説明できる。,腰背部痛の原因と病態生理を説明できる。,関節痛・関節腫脹の原因と病態生理を説明できる。,外傷・熱傷の病態生理を説明できる。,主要疾患の症例に関して、診断・治療計画を立案できる。,主訴からの診断推論を組み立てる、又はたどる。","主要症候[^table:主要症候]について原因と病態生理を説明できる。","主要症候[^table:主要症候]について原因と病態生理を説明できる。","主要症候[@tbl:主要症候]について原因と病態生理を理解している。","説明できる→理解しているに変更","",2.0,"","主要症候[@tbl:主要症候]について原因と病態生理を理解している。","知識の症候もまとめた症状・症候のテーブルを作ることを検討(2022/2/7)(近藤)","基本症候は別表に記載されます","","","「基本症候」が「F/G（多臓器にまたがる症状・症候）」に限定されないような書き方が必要。単一臓器がメインとなる他の重要な症状・症候がDに含まれる予定なので。あるいは、「基本症候」としてDとF/Gに含まれる全ての（症状・）症候を列挙する必要がある。","","","","","","",""
