"検査項目","UID","H28対応項目","Unnamed: 3","検査項目(20220302査読直前)","修正提案(20220302)","査読コメント(20220302)","チームからの返信（原案どおりなら１、修正案に賛成なら２）","チームからのコメント（あれば）","Unnamed: 9","Unnamed: 10","Unnamed: 11","Unnamed: 12","Unnamed: 13","Unnamed: 14","Unnamed: 15","Unnamed: 16","Unnamed: 17","Unnamed: 18","Unnamed: 19"
"病理組織検査や細胞診検査（術中迅速診断を含む）","Jkxirwk","F-02-03-na-10,F-02-04-na-03,F-02-04-na-04","説明→理解","病理組織検査や細胞診検査（術中迅速診断を含む）","病理組織検査や細胞診検査（術中迅速診断を含む）","",2.0,"","フローサイトメトリーは知識への移行を考慮(近藤)(2022/2/14)","フローサイトメトリーは削除し、技能で審議しこのままとしました","61列に項目を記載すればここで個別は不要
フローサイトメトリーをわざわざ書く理由がない（恐らく昭和コアカリの遺物）","「説明できる」でよいか？","","","統合というより知識。他所へ統合∴ここでは削除で良いのでは？","","","",""
"","Jkxirxg","F-02-04-na-01","説明→理解","病理診断、細胞診","","Jkxirwkに統合",2.0,"","計画と解釈両方を含んでいる(近藤)","技能で審議しこのままとしました","","","","","統合というより知識。他所へ統合∴ここでは削除で良いのでは？","","","",""
"染色体・遺伝子検査","Jkxirwg","F-02-03-na-09","説明→理解","染色体・遺伝子検査","染色体・遺伝子検査","",2.0,"","","技能で審議しこのままとしました","61列に項目を記載すればここで個別は不要","","","","統合というより知識。他所へ統合∴ここでは削除で良いのでは？","","","",""
"心電図","JkxirxQ","F-02-03-na-12","説明→理解","生体機能検査（心電図、心臓機能検査、呼吸機能検査、超音波検査、内分泌・代謝機能検査、脳波検査、針筋電図検査、末梢神経伝導検査）","心電図","",2.0,"","計画と解釈両方を含んでいる(近藤)","技能で審議しこのままとしました","上の７５と統合","","","","統合というより知識。他所へ統合∴ここでは削除で良いのでは？","","","",""
"呼吸機能検査","Jli6Y7U","F-02-03-na-12","","","呼吸機能検査","",2.0,"","","","","","","","","","","",""
"内分泌・代謝機能検査","Jli6Y7Y","","","","内分泌・代謝機能検査","",2.0,"","","","","","","","","","","",""
"脳波検査","Jli6Y7c","F-02-03-na-12","","","脳波検査","",2.0,"","","","","","","","","","","",""
"超音波検査","JkxirxA","F-02-07-na-01,F-02-07-na-02,F-02-07-na-05","説明→理解","超音波検査","超音波検査","ママ",2.0,"","超音波検査の適応を説明できるに修正を提案(近藤)","技能で審議しこのままとしました","読影も","「説明できる」でよいか？","79に統合、削除","","統合というより知識。他所へ統合∴ここでは削除で良いのでは？","","","適応を述べるだけなら知識ではないでしょうか","エコーか超音波か、コアカリ全体で統一。"
"X線撮影","Jkxirw4","F-02-05-na-01","説明→理解","エックス線撮影、CT、MRIと核医学検査","X線撮影","24-27に分離",2.0,"","原理→適応に修正(近藤)(2022/2/14)","技能で審議しこのままとしました","原理の説明だけでなく、一定レベルまでの読影まで求めて（主要疾患のCT/MRIの読影ができる・・・等）下の84との統合しては","「説明できる」でよいか？","84と統合して削除？","","統合というより知識。他所へ統合∴ここでは削除で良いのでは？","","","原理だけなら知識でしょうか",""
"CT検査","Jli6aBM","","","","CT検査","24-27に分離",2.0,"","","","","","","","","","","",""
"MRI検査","Jli6aBU","","","","MRI検査","24-27に分離",2.0,"","","","","","","","","","","",""
"核医学検査","Jkxirxk","F-02-05-na-02","ママ","エックス線撮影、CT、MRIと核医学検査","核医学検査","24-27に分離",2.0,"","読影が説明できる→基本的な読影ができる(近藤)(2022/2/14)","読影できるとしました","「主要な疾患において読影できる（あるいは解釈できる）」まで求めてもいいと思います","","73と統合して「〜の原理、目的と適応を説明し、読影できる」としては？","","統合というより知識。他所へ統合∴ここでは削除で良いのでは？","","","73と統合でどうでしょうか",""
"内視鏡検査","Jkxirw8","F-02-06-na-01,F-02-06-na-02","ママ","内視鏡検査","内視鏡検査","",2.0,"","内視鏡検査の適応を説明できるに修正を提案(近藤)","技能で審議しこのままとしました","読影も","「説明できる」でよいか？","他とあわせて「〜の適応を説明し、結果を解釈できる」としては？","","統合というより知識。他所へ統合∴ここでは削除で良いのでは？","","","適応を述べるだけなら知識ではないでしょうか",""
