"H28ID","理由・コメント","第4層"
"G-03-02-na-05","医師が行う機会がなくなってきたため、計画・解釈は別目標として立てた(近藤)","血液型判定を実施できる。"
"G-03-02-na-08","学生に求める手技ではない(近藤)","脳波検査の記録ができる。"
"G-03-02-na-09","学生に求める手技ではない(近藤)","眼球に直接触れる検査を見学し、介助する。"
"G-03-02-na-12","学生に求める手技ではない(近藤)","エックス線撮影、コンピュータ断層撮影<CT>、磁気共鳴画像法<MRI>、核医学検査、内視鏡検査を見学し、介助する。"
"G-03-03-na-06","学生に求める手技ではない(近藤)","手術、術前・術中・術後管理を見学し、介助する。"
"F-02-01-na-01","具体的に何を示すか不明、削除も検討(近藤)","問題の同定から治療やマネジメントに至るプロセスを列挙できる。"
"G-04-04-na-03","方略であったため削除(近藤)","状況に応じて意思決定を行うことができる"
"F-02-07-na-06","専門医のレベルなので削除(近藤)","超音波造影法を説明できる。"
"G-03-01-na-02","皮膚消毒を行わなくなってきたため",""
"F-03-04-na-02","総合へ",""
"F-03-02-na-01","コミュニケーションへ",""
"G-04-04-na-02","コミュニケーションへ",""
"F-03-05-01-01","コミュニケーションへ",""
"F-03-05-02-01","総合へ",""
"F-02-01-na-04","コミュ・総合へ",""
"F-03-01-na-01","抽象的なので削除",""
"F-03-01-na-02","抽象的なので削除",""
"F-03-01-na-03","抽象的なので削除",""
"G-04-01-04-02","社会へ",""
"F-03-05-08-05","小児科の基本的臨床技能として扱う",""
"G-04-01-03-05","小児科の基本的臨床技能として扱う",""
"F-02-04-na-05","社会へ",""
"F-02-09-02-09","方略の意味合いが大きい",""
"F-02-09-02-10","方略の意味合いが大きい",""
"F-02-10-na-08","他と比べて専門的すぎるため",""
"G-04-01-02-02","方略であるため削除し、ガイドラインでの記載を検討(近藤)",""
"G-04-01-02-03","方略であるため削除し、ガイドラインでの記載を検討(近藤)",""
"G-04-01-04-05","方略であるため削除し、ガイドラインでの記載を検討(近藤)",""
"F-03-05-08-03","抽象的すぎるため",""
"G-04-01-01-03","抽象的すぎるため",""
"G-04-01-02-01","抽象的すぎるため",""
"F-02-15-na-01","総合へ",""
"F-02-15-na-04","総合へ",""
"F-02-15-na-05","社会へ",""
"F-02-15-na-07","社会へ",""
"F-02-15-na-06","総合へ",""
"F-02-16-na-02","総合へ",""
"G-04-01-06-02","総合に委託を検討する(近藤)",""
"G-04-01-06-03","総合に委託を検討する(近藤)",""
"G-04-01-06-04","総合に委託を検討する(近藤)",""
"F-02-14-na-04","総合へ",""
"F-02-01-na-08","各診療科に含まれるため(近藤)",""
"G-04-01-06-05","方略であるため",""
"G-04-01-06-06","方略であるため",""
"G-04-03-na-02","方略であるため",""
"G-04-03-na-03","方略であるため",""
"G-04-03-na-04","方略であるため",""
"G-04-03-na-05","方略であるため",""
"G-04-03-na-06","方略であるため",""
"G-04-04-na-04","方略であるため",""
"F-02-15-na-02","総合へ",""
"G-04-01-07-05","知識へ",""
