"index","第1層（大項目）","第2層（中項目）","第3層（小項目）","第4層（細小項目）","第5層（学修目標）"
57.0,"A 医師として求められる基本的な資質・能力","A-6 医療の質と安全の管理","A-6-3) 医療従事者の健康と安全","なし","①医療従事者の健康管理（予防接種を含む）の重要性を説明できる。"
58.0,"A 医師として求められる基本的な資質・能力","A-6 医療の質と安全の管理","A-6-3) 医療従事者の健康と安全","なし","②標準予防策(standard precautions)の必要性を説明し、実行できる。"
59.0,"A 医師として求められる基本的な資質・能力","A-6 医療の質と安全の管理","A-6-3) 医療従事者の健康と安全","なし","③患者隔離の必要な場合を説明できる。"
60.0,"A 医師として求められる基本的な資質・能力","A-6 医療の質と安全の管理","A-6-3) 医療従事者の健康と安全","なし","④針刺し事故（針刺切創）等に遭遇した際の対処の仕方を説明できる。"
61.0,"A 医師として求められる基本的な資質・能力","A-6 医療の質と安全の管理","A-6-3) 医療従事者の健康と安全","なし","⑤医療現場における労働環境の改善の必要性を説明できる。"
62.0,"A 医師として求められる基本的な資質・能力","A-7 社会における医療の実践","A-7-1) 地域医療への貢献","なし","①地域社会（離島・へき地を含む）における医療の状況、医師の偏在（地域、診療科及び臨床・非臨床）の現状を概説できる。"
63.0,"A 医師として求められる基本的な資質・能力","A-7 社会における医療の実践","A-7-1) 地域医療への貢献","なし","②医療計画（医療圏、基準病床数、地域医療支援病院、病診連携、病病連携、病院・診療所・薬局の連携等）及び地域医療構想を説明できる。"
64.0,"A 医師として求められる基本的な資質・能力","A-7 社会における医療の実践","A-7-1) 地域医療への貢献","なし","③地域包括ケアシステムの概念を理解し、地域における保健（母子保健、学校保健、成人・高齢者保健、地域保健、精神保健）・医療・福祉・介護の分野間及び多職種間（行政を含む）の連携の必要性を説明できる。"
65.0,"A 医師として求められる基本的な資質・能力","A-7 社会における医療の実践","A-7-1) 地域医療への貢献","なし","④かかりつけ医等の役割や地域医療の基盤となるプライマリ・ケアの必要性を理解し、実践に必要な能力を獲得する。"
66.0,"A 医師として求められる基本的な資質・能力","A-7 社会における医療の実践","A-7-1) 地域医療への貢献","なし","⑤地域における救急医療、在宅医療及び離島・へき地医療の体制を説明できる。"
67.0,"A 医師として求められる基本的な資質・能力","A-7 社会における医療の実践","A-7-1) 地域医療への貢献","なし","⑥災害医療（災害時保健医療、医療救護班、災害派遣医療チーム(Disaster Medical Assistance Team <DMAT>)、災害派遣精神医療チーム(Disaster Psychiatric Assistance Team <DPAT>)、日本医師会災害医療チーム(Japan Medical Association Team <JMAT>)、災害拠点病院、トリアージ等）を説明できる。"
68.0,"A 医師として求められる基本的な資質・能力","A-7 社会における医療の実践","A-7-1) 地域医療への貢献","なし","⑦地域医療に積極的に参加・貢献する。"
69.0,"A 医師として求められる基本的な資質・能力","A-7 社会における医療の実践","A-7-2) 国際医療への貢献","なし","①患者の文化的背景を尊重し、英語をはじめとした異なる言語に対応することができる。"
70.0,"A 医師として求められる基本的な資質・能力","A-7 社会における医療の実践","A-7-2) 国際医療への貢献","なし","②地域医療の中での国際化を把握し、価値観の多様性を尊重した医療の実践に配慮することができる。"
71.0,"A 医師として求められる基本的な資質・能力","A-7 社会における医療の実践","A-7-2) 国際医療への貢献","なし","③保健、医療に関する国際的課題を理解し、説明できる。"
72.0,"A 医師として求められる基本的な資質・能力","A-7 社会における医療の実践","A-7-2) 国際医療への貢献","なし","④日本の医療の特徴を理解し、国際社会への貢献の意義を理解している。"
73.0,"A 医師として求められる基本的な資質・能力","A-7 社会における医療の実践","A-7-2) 国際医療への貢献","なし","⑤医療に関わる国際協力の重要性を理解し、仕組みを説明できる。"
74.0,"A 医師として求められる基本的な資質・能力","A-8 科学的探究","A-8-1)  医学研究への志向の涵養","なし","①研究は、医学・医療の発展や患者の利益の増進を目的として行われるべきことを説明できる。"
75.0,"A 医師として求められる基本的な資質・能力","A-8 科学的探究","A-8-1)  医学研究への志向の涵養","なし","②生命科学の講義・実習で得た知識を基に、診療で経験した病態の解析ができる。"
76.0,"A 医師として求められる基本的な資質・能力","A-8 科学的探究","A-8-1)  医学研究への志向の涵養","なし","③患者や疾患の分析を基に、教科書・論文等から最新の情報を検索・整理統合し、疾患の理解・診断・治療の深化につなげることができる。"
77.0,"A 医師として求められる基本的な資質・能力","A-8 科学的探究","A-8-1)  医学研究への志向の涵養","なし","④抽出した医学・医療情報から新たな仮説を設定し、解決に向けて科学的研究（臨床研究、疫学研究、生命科学研究等）に参加することができる。"
78.0,"A 医師として求められる基本的な資質・能力","A-9 生涯にわたって共に学ぶ姿勢","A-9-1) 生涯学習への準備","なし","①生涯学習の重要性を説明できる。"
79.0,"A 医師として求められる基本的な資質・能力","A-9 生涯にわたって共に学ぶ姿勢","A-9-1) 生涯学習への準備","なし","②生涯にわたる継続的学習に必要な情報を収集できる。"
80.0,"A 医師として求められる基本的な資質・能力","A-9 生涯にわたって共に学ぶ姿勢","A-9-1) 生涯学習への準備","なし","③キャリア開発能力を獲得する。"
81.0,"A 医師として求められる基本的な資質・能力","A-9 生涯にわたって共に学ぶ姿勢","A-9-1) 生涯学習への準備","なし","④キャリアステージにより求められる能力に異なるニーズがあることを理解する。"
82.0,"A 医師として求められる基本的な資質・能力","A-9 生涯にわたって共に学ぶ姿勢","A-9-1) 生涯学習への準備","なし","⑤臨床実習で経験したことを省察し、自己の課題を明確にする。"
83.0,"B 社会と医学・医療","B-1 集団に対する医療","B-1-1) 統計の基礎","なし","①データの記述と要約（記述統計を含む）ができる。"
84.0,"B 社会と医学・医療","B-1 集団に対する医療","B-1-1) 統計の基礎","なし","②主要な確率分布を説明できる。"
85.0,"B 社会と医学・医療","B-1 集団に対する医療","B-1-1) 統計の基礎","なし","③正規分布の母平均の信頼区間を計算できる。"
86.0,"B 社会と医学・医療","B-1 集団に対する医療","B-1-1) 統計の基礎","なし","④基本的な仮説検定の構造を説明できる。"
87.0,"B 社会と医学・医療","B-1 集団に対する医療","B-1-2) 統計手法の適用","なし","①２群間の平均値の差を検定できる（群間の対応のあり、なしを含む）。"
88.0,"B 社会と医学・医療","B-1 集団に対する医療","B-1-2) 統計手法の適用","なし","②パラメトリック検定とノンパラメトリック検定の違いを説明できる。"
89.0,"B 社会と医学・医療","B-1 集団に対する医療","B-1-2) 統計手法の適用","なし","③カイ２乗検定法を実施できる。"
90.0,"B 社会と医学・医療","B-1 集団に対する医療","B-1-2) 統計手法の適用","なし","④一元配置分散分析を利用できる。"
91.0,"B 社会と医学・医療","B-1 集団に対する医療","B-1-2) 統計手法の適用","なし","⑤２変量の散布図を描き、回帰と相関の違いを説明できる。"
92.0,"B 社会と医学・医療","B-1 集団に対する医療","B-1-2) 統計手法の適用","なし","⑥線形重回帰分析、多重ロジスティック回帰分析と交絡調整を概説できる。"
93.0,"B 社会と医学・医療","B-1 集団に対する医療","B-1-3) 根拠に基づいた医療<EBM>","なし","①根拠に基づいた医療<EBM>の５つのステップを列挙できる。"
94.0,"B 社会と医学・医療","B-1 集団に対する医療","B-1-3) 根拠に基づいた医療<EBM>","なし","②Patient, population, problem, intervention (exposure), comparison, outcome <PICO (PECO)>を用いた問題の定式化ができる。"
95.0,"B 社会と医学・医療","B-1 集団に対する医療","B-1-3) 根拠に基づいた医療<EBM>","なし","③研究デザイン（観察研究（記述研究、横断研究、症例対照研究、コホート研究）、介入研究（臨床研究、ランダム化比較試験）、システマティックレビュー、メタ分析（メタアナリシス））を概説できる。"
96.0,"B 社会と医学・医療","B-1 集団に対する医療","B-1-3) 根拠に基づいた医療<EBM>","なし","④データベースや二次文献からのエビデンス、診療ガイドラインを検索することができる。"
97.0,"B 社会と医学・医療","B-1 集団に対する医療","B-1-3) 根拠に基づいた医療<EBM>","なし","⑤得られた情報の批判的吟味ができる。"
98.0,"B 社会と医学・医療","B-1 集団に対する医療","B-1-3) 根拠に基づいた医療<EBM>","なし","⑥診療ガイドラインの種類と使用上の注意を列挙できる。"
99.0,"B 社会と医学・医療","B-1 集団に対する医療","B-1-3) 根拠に基づいた医療<EBM>","なし","⑦診療ガイドラインの推奨の強さについて違いを説明できる。"
100.0,"B 社会と医学・医療","B-1 集団に対する医療","B-1-4) 疫学と予防医学","なし","①人口統計（人口静態と人口動態）、疾病・障害の分類・統計（国際疾病分類(International Classification of Diseases <ICD>)等）を説明できる。"
101.0,"B 社会と医学・医療","B-1 集団に対する医療","B-1-4) 疫学と予防医学","なし","②平均寿命、健康寿命を説明できる。"
102.0,"B 社会と医学・医療","B-1 集団に対する医療","B-1-4) 疫学と予防医学","なし","③罹患率と発生割合の違いを説明できる。"
103.0,"B 社会と医学・医療","B-1 集団に対する医療","B-1-4) 疫学と予防医学","なし","④疫学とその応用（疫学の概念、疫学指標（リスク比、リスク差、オッズ比）とその比較（年齢調整率、標準化死亡比(standardized mortality ratio <SMR>)）、バイアス、交絡）を説明できる。"
104.0,"B 社会と医学・医療","B-1 集団に対する医療","B-1-4) 疫学と予防医学","なし","⑤予防医学（一次、二次、三次予防）と健康保持増進（健康管理の概念・方法、健康診断・診査と事後指導）を概説できる。"
105.0,"B 社会と医学・医療","B-1 集団に対する医療","B-1-5) 生活習慣とリスク","なし","①基本概念（国民健康づくり運動、生活習慣病とリスクファクター、健康寿命の延伸と生活の質(quality of life <QOL>)向上、行動変容、健康づくり支援のための環境整備等）を説明できる。"
106.0,"B 社会と医学・医療","B-1 集団に対する医療","B-1-5) 生活習慣とリスク","なし","②栄養、食育、食生活を説明できる。"
107.0,"B 社会と医学・医療","B-1 集団に対する医療","B-1-5) 生活習慣とリスク","なし","③身体活動、運動を説明できる。"
108.0,"B 社会と医学・医療","B-1 集団に対する医療","B-1-5) 生活習慣とリスク","なし","④休養・心の健康（睡眠の質、不眠、ストレス対策、過重労働対策、自殺の予防）を説明できる。"
109.0,"B 社会と医学・医療","B-1 集団に対する医療","B-1-5) 生活習慣とリスク","なし","⑤喫煙（状況、有害性、受動喫煙防止、禁煙支援）、飲酒（状況、有害性、アルコール依存症からの回復支援）を説明できる。"
110.0,"B 社会と医学・医療","B-1 集団に対する医療","B-1-5) 生活習慣とリスク","なし","⑥ライフステージに応じた健康管理と環境・生活習慣改善（環境レベル、知識レベル、行動レベルと行動変容）を説明できる。"
111.0,"B 社会と医学・医療","B-1 集団に対する医療","B-1-6) 社会・環境と健康","なし","①健康（健康の定義）、障害と疾病の概念と社会環境（機能障害、活動制限、参加制約、生活の質<QOL>、ノーマライゼーション、バリアフリー、ユニバーサルデザイン等）を説明できる。"
112.0,"B 社会と医学・医療","B-1 集団に対する医療","B-1-6) 社会・環境と健康","なし","②社会構造（家族、コミュニティ、地域社会、国際化）と健康・疾病との関係（健康の社会的決定要因(social determinant of health)）を概説できる。"
113.0,"B 社会と医学・医療","B-1 集団に対する医療","B-1-6) 社会・環境と健康","なし","③仕事と健康、環境と適応、生体環境系、病因と保健行動、環境基準と環境影響評価、公害と環境保全が健康と生活に与える影響を概説できる。"
114.0,"B 社会と医学・医療","B-1 集団に対する医療","B-1-6) 社会・環境と健康","なし","④各ライフステージの健康問題（母子保健、学校保健、産業保健、成人・高齢者保健）を説明できる。"
115.0,"B 社会と医学・医療","B-1 集団に対する医療","B-1-6) 社会・環境と健康","なし","⑤スポーツ医学を説明できる。"
116.0,"B 社会と医学・医療","B-1 集団に対する医療","B-1-7) 地域医療・地域保健","なし","①地域社会（へき地・離島を含む）における医療の状況、医師の偏在（地域、診療科及び臨床・非臨床）の現状を概説できる。"
117.0,"B 社会と医学・医療","B-1 集団に対する医療","B-1-7) 地域医療・地域保健","なし","②医療計画（医療圏、基準病床数、地域医療支援病院、病診連携、病病連携、病院・診療所・薬局の連携等）及び地域医療構想を説明できる。"
118.0,"B 社会と医学・医療","B-1 集団に対する医療","B-1-7) 地域医療・地域保健","なし","③地域包括ケアシステムの概念を理解し、地域における、保健（母子保健、学校保健、成人・高齢者保健、地域保健、精神保健）・医療・福祉・介護の分野間及び多職種間（行政を含む）の連携の必要性を説明できる。"
119.0,"B 社会と医学・医療","B-1 集団に対する医療","B-1-7) 地域医療・地域保健","なし","④かかりつけ医等の役割や地域医療の基盤となるプライマリ・ケアの必要性を理解し、実践に必要な能力を獲得する。"
120.0,"B 社会と医学・医療","B-1 集団に対する医療","B-1-7) 地域医療・地域保健","なし","⑤地域における救急医療、在宅医療及び離島・へき地医療の体制を説明できる。"
121.0,"B 社会と医学・医療","B-1 集団に対する医療","B-1-7) 地域医療・地域保健","なし","⑥災害医療（災害時保健医療、医療救護班、災害派遣医療チーム<DMAT>、災害派遣精神医療チーム<DPAT>、日本医師会災害医療チーム<JMAT>、災害拠点病院、トリアージ等）を説明できる。"
122.0,"B 社会と医学・医療","B-1 集団に対する医療","B-1-7) 地域医療・地域保健","なし","⑦地域医療に積極的に参加・貢献する。"
123.0,"B 社会と医学・医療","B-1 集団に対する医療","B-1-8) 保健・医療・福祉・介護の制度","なし","①日本における社会保障制度と医療経済（国民医療費の収支と将来予測）を説明できる。"
124.0,"B 社会と医学・医療","B-1 集団に対する医療","B-1-8) 保健・医療・福祉・介護の制度","なし","②医療保険、介護保険及び公費医療を説明できる。"
125.0,"B 社会と医学・医療","B-1 集団に対する医療","B-1-8) 保健・医療・福祉・介護の制度","なし","③高齢者福祉と高齢者医療の特徴を説明できる。"
126.0,"B 社会と医学・医療","B-1 集団に対する医療","B-1-8) 保健・医療・福祉・介護の制度","なし","④産業保健（労働基準法等の労働関連法規を含む）を概説できる。"
127.0,"B 社会と医学・医療","B-1 集団に対する医療","B-1-8) 保健・医療・福祉・介護の制度","なし","⑤医療の質の確保（病院機能評価、国際標準化機構(International Organization for Standardization <ISO>)、医療の質に関する評価指標、患者満足度、患者説明文書、同意書、同意撤回書、クリニカルパス等）を説明できる。"
128.0,"B 社会と医学・医療","B-1 集団に対する医療","B-1-8) 保健・医療・福祉・介護の制度","なし","⑥医師法、医療法等の医療関連法規を概説できる。"
129.0,"B 社会と医学・医療","B-1 集団に対する医療","B-1-8) 保健・医療・福祉・介護の制度","なし","⑦医療関連法規に定められた医師の義務を列挙できる。"
130.0,"B 社会と医学・医療","B-1 集団に対する医療","B-1-8) 保健・医療・福祉・介護の制度","なし","⑧医療における費用対効果分析を説明できる。"
131.0,"B 社会と医学・医療","B-1 集団に対する医療","B-1-8) 保健・医療・福祉・介護の制度","なし","⑨医療資源と医療サービスの価格形成を説明できる。診療報酬制度を説明でき、同制度に基づいた診療計画を立てることができる。"
132.0,"B 社会と医学・医療","B-1 集団に対する医療","B-1-8) 保健・医療・福祉・介護の制度","なし","⑩医療従事者の資格免許、現状と業務範囲、職種間連携を説明できる。"
133.0,"B 社会と医学・医療","B-1 集団に対する医療","B-1-8) 保健・医療・福祉・介護の制度","なし","⑪感染症法・食品衛生法の概要と届出義務を説明できる。"
134.0,"B 社会と医学・医療","B-1 集団に対する医療","B-1-8) 保健・医療・福祉・介護の制度","なし","⑫予防接種の意義と現状を説明できる。"
135.0,"B 社会と医学・医療","B-1 集団に対する医療","B-1-8) 保健・医療・福祉・介護の制度","なし","⑬障害者福祉・精神保健医療福祉の現状と制度を説明できる。"
136.0,"B 社会と医学・医療","B-1 集団に対する医療","B-1-9) 国際保健","なし","①世界の保健・医療問題（母子保健、感染症、非感染性疾患(non-communicable diseases <NCD>) 、UHC (Universal Health Coverage)、保健システム（医療制度）、保健関連SDG (Sustainable Development Goals)）を概説できる。"
137.0,"B 社会と医学・医療","B-1 集団に対する医療","B-1-9) 国際保健","なし","②国際保健・医療協力（国際連合(United Nations <UN>)、世界保健機関(World Health Organization <WHO>)、国際労働機関(International Labour Organization <ILO>)、国連合同エイズ計画(The Joint United Nations Programme on HIV/AIDS <UNAIDS>)、世界エイズ・結核・マラリア対策基金(The Global Fund to Fight AIDS, Tuberculosis and Malaria <GF>)、GAVIアライアンス(The Global Alliance for Vaccines and Immunization <GAVI>)、国際協力機構(Japan International Cooperation Agency <JICA>)、政府開発援助(Official Development Assistance <ODA>)、非政府組織(Non-Governmental Organization <NGO>)）を列挙し、概説できる。"
138.0,"B 社会と医学・医療","B-2 法医学と関連法規","B-2-1) 死と法","なし","①植物状態、脳死、心臓死及び脳死判定を説明できる。"
139.0,"B 社会と医学・医療","B-2 法医学と関連法規","B-2-1) 死と法","なし","②異状死・異状死体の取扱いと死体検案を説明できる。"
140.0,"B 社会と医学・医療","B-2 法医学と関連法規","B-2-1) 死と法","なし","③死亡診断書と死体検案書を作成できる。"
