"第2層","第3層","第4層","UID","H28対応項目","第4層(技術参与清書)","第4層(20220302査読直前)","H28表記","修正提案(20220302)","査読コメント(20220302)","チームからの返信
（原案どおりなら１、修正案に賛成なら２）","チームからのコメント（あれば）","第4層(計算列)","メモ","査読に対するコメント","査読への返答","A","B","C","D","E","F","G","H","I","Unnamed: 25"
"全人的な視点とアプローチ","患者中心の医療","医療の継続性（時間・情報・関係等）がもたらす影響を理解している。","JkxpssA","","医療の継続性（時間・情報・関係等）がもたらす影響について概説できる。","医療の継続性（時間・情報・関係など）がもたらす影響について概説できる。","","医療の継続性（時間・情報・関係等）がもたらす影響を理解している。","理解している、に変更",2.0,"","医療の継続性（時間・情報・関係等）がもたらす影響を理解している。","新規","","（変更あり）医療の継続性について、用語説明を補足することで、内容が読者に伝わりやすい形式し、ご指摘に対応しました（時間性、情報性、関係性など）。","急性期→慢性期→在宅などの継続でしょうか？一人の患者をずっと見るという意味でしょうか？
医療の継続性がいろいろな読み方をされそうです","","","","","削除候補と思います。","","b","",""
"全人的な視点とアプローチ","根拠に基づいた医療<EBM>","根拠に基づいた医療（EBM）の5つのステップを列挙できる。","JkxpssE","B-01-03-na-01,F-02-02-na-01","根拠に基づいた医療（EBM）の5つのステップを列挙できる。","根拠に基づいた医療<EBM>の5つのステップを列挙できる。","根拠に基づいた医療<EBM>の５つのステップを列挙できる。,根拠に基づいた医療<EBM>の５つのステップを列挙できる。","根拠に基づいた医療（EBM）の5つのステップを列挙できる。","ママ",2.0,"","根拠に基づいた医療（EBM）の5つのステップを列挙できる。","変更なし","※科学的医療の実践という第2層をいれるかどうか？","","","","","","","","","","",""
"全人的な視点とアプローチ","根拠に基づいた医療<EBM>","PICO（PECO）を用いた問題の定式化ができる。","JkxpssI","B-01-03-na-02,F-02-02-na-02","PICO（PECO）を用いた問題の定式化ができる。","Patient, population, problem, intervention (exposure), comparison, outcome <PICO (PECO)>を用いた問題の定式化ができる。","Patient, population, problem, intervention (exposure), comparison, outcome <PICO (PECO)>を用いた問題の定式化ができる。,現場で遭遇した臨床上の問題に関し、PICO (PECO)を用いた問題の定式化ができる。","PICO（PECO）を用いた問題の定式化ができる。","ママ",2.0,"","PICO（PECO）を用いた問題の定式化ができる。","修正","","","","","","","","","","","",""
"全人的な視点とアプローチ","根拠に基づいた医療<EBM>","データベースや二次文献からのエビデンス、診療ガイドラインを検索することができる。","JkxpssM","B-01-03-na-04,F-02-02-na-04","データベースや二次文献からのエビデンス、診療ガイドラインを検索することができる。","データベースや二次文献からのエビデンス、診療ガイドラインを検索することができる。","データベースや二次文献からのエビデンス、診療ガイドラインを検索することができる。,データベースや二次文献からのエビデンス、診療ガイドラインを検索することができる。","データベースや二次文献からのエビデンス、診療ガイドラインを検索することができる。","ママ",2.0,"","データベースや二次文献からのエビデンス、診療ガイドラインを検索することができる。","変更なし","","","","","","","","","","","",""
"全人的な視点とアプローチ","根拠に基づいた医療<EBM>","得られたエビデンスの批判的吟味ができる。","JkxpssQ","B-01-03-na-05,F-02-02-na-05","得られたエビデンスの批判的吟味ができる。","得られたエビデンスの批判的吟味ができる。","得られた情報の批判的吟味ができる。,得られた情報の批判的吟味ができる。","得られたエビデンスの批判的吟味ができる。","ママ",2.0,"","得られたエビデンスの批判的吟味ができる。","修正","","（変更なし）チームで検討を重ねましたが、この項目については学生レベルで実施ができる内容と考え、変更を行わず記載しております。科学10と重複につきましては、今後チーム間での検討をさせて頂けますと幸いです。","","","「指導医とともに得られたエビデンスの批判的吟味ができる」が現実的かと。科学10と重複。","","","","","化学10と重複します。総合では診療現場での実践を示していると思いますが、違いがわかりにくいです。","",""
"全人的な視点とアプローチ","根拠に基づいた医療<EBM>","診療ガイドラインの種類、推奨の強さ、使用上の注意を理解している。","JkxpssU","B-01-03-na-06,F-02-02-na-06","診療ガイドラインの種類と使用上の注意を列挙できる。","診療ガイドラインの種類と使用上の注意を列挙できる。","診療ガイドラインの種類と使用上の注意を列挙できる。,診療ガイドラインの種類と使用上の注意を列挙できる。","診療ガイドラインの種類、推奨の強さ、使用上の注意を理解している。","23と統合",2.0,"","診療ガイドラインの種類、推奨の強さ、使用上の注意を理解している。","変更なし","","","","","","","","","","","",""
"全人的な視点とアプローチ","根拠に基づいた医療<EBM>","","JkxpssY","B-01-03-na-07,F-02-02-na-07","診療ガイドラインの推奨の強さについて違いを説明できる。","診療ガイドラインの推奨の強さについて違いを説明できる。","診療ガイドラインの推奨の強さについて違いを説明できる。,診療ガイドラインの推奨の強さについて違いを述べることができる。","","22に統合",2.0,"","","変更なし","","","","","","","","","","","","【宮地】22に包含でもよいのでは。「〜の種類、推奨の強さの違い、使用上の注意を理解している」でしょうか？"
"全人的な視点とアプローチ","根拠に基づいた医療<EBM>","エビデンスを患者に適用する計画を立てられる。","Jkxpssc","","得られたエビデンスを臨床実習で関わっている患者に適用できる。","得られたエビデンスを臨床実習で関わっている患者に適用できる。","","エビデンスを患者に適用する計画を立てられる。","査読者Aのコメント受けて学生レベルに修正",2.0,"","エビデンスを患者に適用する計画を立てられる。","新規","","（変更あり）査読者のコメントを元に、「目の前の」を「臨床実習で関わっている」に修正を行なっています。","目の前の→臨床実習で関わっている / 担当している","これはいいですね！","「患者に適用できる」レベルは研修医かと。「得られたエビデンスを、患者に対する治療・診断・説明の計画に適用できる」","","当たり前なので割愛。これはEBM世代前の経験だけで診療している医師が学ぶべきことでは？","","","18-23は科学的探究におとしこみ、24はこちらに残すのでどうでしょうか","",""
"全人的な視点とアプローチ","行動科学","行動科学に関する知識・理論・面接法を予防医療、診断、治療、ケアに適用することができる。","Jkxpssg","B-04-01-na-01,C-05-08-na-01,C-05-08-na-02, C-05-08-na-03, C-05-08-na-05","行動科学に関する知識・理論・面接法を予防医療、診断、治療、ケアに適用することができる。","行動科学に関する知識・理論・面接法を予防医療、診断、治療、ケアに適用することができる。","医療人類学や医療社会学等の行動科学・社会科学の基本的な視点・方法・理論を概説できる。,健康行動や行動変容を行う動機付けを概説できる。,行動療法を説明できる。,認知行動療法を説明できる。,生活習慣病における患者支援（自律性支援）や保健指導を概説できる。","行動科学に関する知識・理論・面接法を予防医療、診断、治療、ケアに適用することができる。","ママ。「行動科学に関する知識・理論・面接法」の注釈が必要",2.0,"","行動科学に関する知識・理論・面接法を予防医療、診断、治療、ケアに適用することができる。","修正","※行動科学に関する知識・理論・面接法：脳内基礎過程、内的・外的要因との関係、本能行動と学習行動、条件づけ、社会的学習、生理的・内発的・社会的動機、欲求とフラストレーション・葛藤、適応（防衛）機制、動機づけ面接、ストレスコーピング、ストレスマネジメント、トラウマインフォームドケアなどが含まれる。","（変更あり）行動に関する知識や理論と予防医療については査読者が示したような内容について、補足説明を加えることとしました。","0次〜３次予防という呼び方が今も一般的な呼び方かについて検討","","H28C-5-1（人の行動）C-5-2（行動の成り立ち）の要素が「行動に関する知識や理論」に含まれるのだと思いますが、他のどこでも扱われていないので、カッコ内で扱うことは可能でしょうか。「行動に関する知識や理論（脳内基礎過程、内的・外的要因との関係、本能行動と学習行動、条件づけ、社会的学習など）、面接法を予防医療(0 次-3 次予防)、診断、治療、ケアに適用することができる。」","","","","","","",""
"全人的な視点とアプローチ","行動科学","適切な環境調整や認知行動療法を提案できる。","Jkxpssk","C-05-08-na-03,C-05-08-na-04","適切な環境調整や認知行動療法を提案できる。","適切な環境調整や認知行動療法を提案できる。","認知行動療法を説明できる。,心理教育を説明できる。","適切な環境調整や認知行動療法を提案できる。","ママ",2.0,"","適切な環境調整や認知行動療法を提案できる。","修正, 認知行動療法や心理教育などの言葉を修正しています。（行動科学委員会提案より　春田）","","（変更有）査読者のコメントをもとに、認知行動療法を提案できるに修正をしました。","","","学生だと「提案できる」までが妥当な気がします。","","心身医学療法は割愛（定義が不明）→認知行動療法を説明できる、に変更をご検討下さい。","","","","",""
"全人的な視点とアプローチ","行動科学","","Jkxpsso","C-05-08-na-01,C-05-08-na-02, C-05-08-na-03","","削除：動機付けや行動変容に関する理論を踏まえ、行動変容を促す面接の知識を臨床現場で活用できる。","健康行動や行動変容を行う動機付けを概説できる。,行動療法を説明できる。,認知行動療法を説明できる。","","",2.0,"","","修正","","（変更有）25とも重複するので、この項目は削除しました。","","","研修医か専向医レベルかと思います。C-05-03の要素も他のどこにもないので、「動機付けや行動変容に関する理論（生理的・内発的・社会的動機、欲求とフラストレーション・葛藤、適応（防衛）機制）を踏まえ、行動変容を促す面接の流れやポイントを説明できる」","","","","","","",""
"全人的な視点とアプローチ","行動科学","健康に関する行動経済学の知識を活用できる。","Jkxpsss","","健康に関する行動経済学の知識を活用できる。","健康に関する行動経済学の知識を活用できる。","","健康に関する行動経済学の知識を活用できる。","ママ",2.0,"","健康に関する行動経済学の知識を活用できる。","新規","※健康に関わる行動経済学：人の行動を心理学、社会学、経済学の視点から分析する学問である．人は必ずしも合理的な選択・行動を行うものではないという「不合理性」を説明するため，「ヒューリステック」「アンカリング」「フレーミング」「時間選好性」「コミットメント」「デフォルトオプション」などの考え方や理論をはじめ、それとなく行動を促す「ナッジ」などがある。","健康診査や行動変容などで行動経済学の知識は活用されていることが多いため、30年を見据えて必要な知識と考え残しております。一方で、医療行動経済学ですが、より正確な文言である「健康に関する行動経済学」に変更し、この用語を補足説明に加えることを検討し、下記の学修項目と統合しました。","文章がわかりにくいです。書いている人には普通でしょうが、読み手にバイアスの内容がわかるかどうか","","","","専門的過ぎるので割愛","２８、２９は行動医療経済学で統合？＿","","医療行動経済学がよくわかっていませんが、28と29でまとめてはいかがでしょうか。","",""
"全人的な視点とアプローチ","行動科学","","Jkxpssw","","","削除：人々の行動予測を踏まえ、医療行動経済学の視点から望ましい選択肢を選びやすくなるような仕組みを提案できる。","","","",2.0,"","","新規","","上記の項目と統合しました。","上の項目と同じく、「医療行動経済学」はコアカリに載せるほど一般化しているかどうか大きな疑問です","","","","専門的過ぎるので割愛","","","","",""
"全人的な視点とアプローチ","緩和ケア","緩和ケアの概念を理解した上で、全人的苦痛（身体的苦痛、心理社会的苦痛、スピリチュアルペイン）を評価できる。","Jli5nRk","F-02-16-na-02、F-02-16-na-01、F-02-16-na-03","緩和ケアの概念を理解した上で、全人的苦痛（身体的苦痛、心理社会的苦痛、スピリチュアルペイン）を評価できる。","緩和ケアの概念を理解した上で、全人的苦痛（身体的苦痛、心理社会的苦痛、スピリチュアルペイン）を評価できる。","{not found: F-02-16-na-02、F-02-16-na-01、F-02-16-na-03}","緩和ケアの概念を理解した上で、全人的苦痛（身体的苦痛、心理社会的苦痛、スピリチュアルペイン）を評価できる。","",2.0,"","緩和ケアの概念を理解した上で、全人的苦痛（身体的苦痛、心理社会的苦痛、スピリチュアルペイン）を評価できる。","移動・修正","","{not found: Jli5nRk}","","","","","","","","","",""
"全人的な視点とアプローチ","緩和ケア","がん・非がんの疼痛緩和の薬物療法や非薬物療法について理解している。","Jli5nRs","F-02-16-na-04","がん・非がんの疼痛緩和の薬物療法や非薬物療法を説明できる。","がん・非がんの疼痛緩和の薬物療法や非薬物療法を説明できる。","疼痛のアセスメント、疼痛緩和の薬物療法、癌疼痛治療法を説明できる。","がん・非がんの疼痛緩和の薬物療法や非薬物療法について理解している。","理解している、に変更",2.0,"","がん・非がんの疼痛緩和の薬物療法や非薬物療法について理解している。","移動・修正","","{not found: Jli5nRs}","","","","","","","","","",""
"全人的な視点とアプローチ","緩和ケア","慢性疾患や慢性疼痛の病態、経過、治療を理解した上で、その対処法・ケアを計画できる。","Jli5nRw","A-03-01-na-07","慢性疾患や慢性疼痛の病態、経過、治療を理解した上で、その対処法・ケアを計画できる。","慢性疾患や慢性疼痛の病態、経過、治療を理解した上で、その対処法・ケアを計画できる。","慢性疾患や慢性疼痛の病態、経過、治療を説明できる。医療を提供する場や制度に応じて、診療チームの一員として慢性期医療に参画できる。","慢性疾患や慢性疼痛の病態、経過、治療を理解した上で、その対処法・ケアを計画できる。","ママ",2.0,"","慢性疾患や慢性疼痛の病態、経過、治療を理解した上で、その対処法・ケアを計画できる。","移動・修正","","{not found: Jli5nRw}","","","","","","","","","",""
"全人的な視点とアプローチ","緩和ケア","患者の苦痛や不安感に配慮しながら、就学・就労、育児・介護等との両立支援を含め患者と家族に対して誠実で適切な支援を計画できる。","Jli5nR4","A-03-01-na-08","患者の苦痛や不安感に配慮しながら、就学・就労、育児・介護等との両立支援を含め患者と家族に対して誠実で適切な支援を行える。","患者の苦痛や不安感に配慮しながら、就学・就労、育児・介護等との両立支援を含め患者と家族に対して誠実で適切な支援を行える。","患者の苦痛や不安感に配慮しながら、就学・就労、育児・介護等との両立支援を含め患者と家族に対して誠実で適切な支援を行える。","患者の苦痛や不安感に配慮しながら、就学・就労、育児・介護等との両立支援を含め患者と家族に対して誠実で適切な支援を計画できる。","学生レベルに合わせて「計画できる」としました",2.0,"","患者の苦痛や不安感に配慮しながら、就学・就労、育児・介護等との両立支援を含め患者と家族に対して誠実で適切な支援を計画できる。","移動・修正","","{not found: Jli5nR4}","","","","","","","","","",""
"全人的な視点とアプローチ","緩和ケア","","","E-09-01-00-07","救命不可能と判断したときや人生の最終段階における医療（エンド・オブ・ライフ・ケア）での患者とのコミュニケーション、頻度の高い苦痛とその対処法・ケアを計画できる。","救命不可能と判断したときや人生の最終段階における医療（エンド・オブ・ライフ・ケア）での患者とのコミュニケーション、頻度の高い苦痛とその対処法・ケアを計画できる。","{not found: E-09-01-00-07}","","コミュ15および総合80と重複","","終末期のコミュニケーションだけですと重複と思いますが、緩和ケア領域で「重篤な急性疾患発症時」ないし「救急・急性期医療」のコミュニケーションや意思決定支援を積極的に行う役割が不足しているために、残してほしいと思います。修正案としては、「救命不可能と判断したとき」を上記のいずれかに置換することが一案と思います。（山梨）","","春田先生よりの修正要望「人生の最終段階における医療（エンド・オブ・ライフ・ケア）や救急・急性期医療での患者・家族との治療・ケアに関するコミュニケーションの意義を理解し、頻度の高い苦痛とその対処法・ケアを計画できる」,移動・修正","","","","","","","","","","","",""
"地域の視点とアプローチ","プライマリ・ケアにおける基本概念","地域の健康格差を理解し、医療へのアクセス障害等の医療システム上の課題を適切に判断できる。","Jkxpss0","","地域の健康格差を理解し、医療へのアクセス障害等の医療システム上の課題を適切に判断できる。","地域の健康格差を理解し、医療へのアクセス障害等の医療システム上の課題を適切に判断できる。","","地域の健康格差を理解し、医療へのアクセス障害等の医療システム上の課題を適切に判断できる。","社会５１、プロ１６と一部重複しているが、少しずつ異なる内容を扱っているため、ママで。",2.0,"","地域の健康格差を理解し、医療へのアクセス障害等の医療システム上の課題を適切に判断できる。","新規","ご指摘の通り、学生のレベルではないため、「判断できる」に修正しました。","学生のレベルではないため、「判断できる」に修正しました。","これは学生レベルでは全くありません →削除","","「診療を行うことができる」が非観察下での単独レベルのような印象を与えるため、学生レベルでは難しいように思いました。「指導医とともに行うことができる」か「〜の課題を適切に判断できる」","","診療できる→概説できるで十分では？","","","診療をできる、は難しいと思います。知識レベルでいかがでしょうか。","",""
