"id5","text5","第3層","Unnamed: 3","Unnamed: 4","Unnamed: 5","Unnamed: 6","Unnamed: 7"
"F-03-06-03-01","無菌操作を実施できる。","治療手技","","","","",""
"F-03-06-03-02","手術や手技のための手洗いができる。","治療手技","","","","",""
"F-03-06-03-03","手術室におけるガウンテクニックができる。","治療手技","","","","",""
"F-03-06-04-01","緊急性の高い状況かどうかをある程度判断できるようになる。","救命処置","初期対応への分類とどちらが良いか？（小松）","","","",""
"F-03-06-04-02","一次救命処置を実施できる。","救命処置","","","","",""
"G-01-01-01-01","「A 医師として求められる基本的な資質・能力」（以下、再掲）を常に意識しながら、臨床実習を行う。","","具体的な目標ではない(近藤)","具体的な目標ではない(磯部)","","",""
"G-01-01-02-01","「F 診療の基本」の内容を基盤として、臨床の現場で研鑽を積む。","","具体的な目標ではない(近藤)","具体的な目標ではない(磯部)","","",""
"G-03-01-na-05","静脈採血を実施できる。","検査手技","","","","",""
"G-03-01-na-06","末梢静脈の血管確保を実施できる。","検査手技","初期対応、あるいは治療手技への分類はいかがか？（小松）","","","",""
"G-03-01-na-07","中心静脈カテーテル挿入を見学し、介助する。","治療手技","","","","",""
"G-03-01-na-08","動脈血採血・動脈ラインの確保を見学し、介助する。","検査手技","","","","",""
"G-03-01-na-09","腰椎穿刺を見学し、介助する。","検査手技","","","","",""
"G-03-01-na-10","胃管の挿入と抜去ができる。","治療手技","","","","",""
"G-03-01-na-11","尿道カテーテルの挿入と抜去を実施できる。","治療手技","","","","",""
"G-03-01-na-12","ドレーンの挿入と抜去を見学し、介助する。","治療手技","","","","",""
"G-03-01-na-13","注射（皮内、皮下、筋肉、静脈内）を実施できる。","治療手技","","","","",""
"G-03-01-na-14","全身麻酔、局所麻酔、輸血を見学し、介助する。","治療手技","","","","",""
"G-03-01-na-15","眼球に直接触れる治療を見学し、介助する。","治療手技","","","","",""
"G-03-01-na-16","診療録（カルテ）を作成する。","カルテ記載","","","","",""
"G-03-01-na-17","各種診断書・検案書・証明書の作成を見学し、介助する。","書類の作成","変更案-下書きを作成する(近藤)","","","",""
"G-03-02-na-01","尿検査（尿沈渣を含む）を実施できる。","検査計画","変更案-適応を説明できる, 結果を解釈できる","","","",""
"G-03-02-na-02","末梢血塗抹標本を作成し、観察できる。","検査計画","変更案-適応を説明できる, 結果を解釈できる","","","",""
"G-03-02-na-05","血液型判定を実施できる。","検査手技","不要では?(血液内科の先生にインタビュー, 今は行っていないと)(近藤)","","","","不要（磯部）"
"G-03-02-na-06","視力、視野、聴力、平衡機能検査を実施できる。","身体所見","これに該当する身体診察を目標としてあげるか結果の解釈に変更を提案したい(近藤)","","","",""
"G-03-02-na-08","脳波検査の記録ができる。","検査手技","変更案-適応を説明できる(近藤)","","","",""
"G-03-02-na-10","心臓、腹部の超音波検査を実施できる。","検査手技","変更案-心臓, 腹部は分けた項目とすることを提案(近藤)","","","",""
"G-03-02-na-12","エックス線撮影、コンピュータ断層撮影<CT>、磁気共鳴画像法<MRI>、核医学検査、内視鏡検査を見学し、介助する。","検査手技","","","","",""
"G-03-03-na-02","手術や手技のための手洗いができる。","治療手技","","","","",""
"G-03-03-na-06","手術、術前・術中・術後管理を見学し、介助する。","治療手技","","","","",""
"G-03-04-na-01","身体徴候、バイタルサインから緊急性の高い状況であることを判断できる。","救命処置","初期対応への分類とどちらが良いか？（小松）","","","",""
"G-03-04-na-02","一次救命処置を実施できる。","救命処置","","","","",""
"G-03-04-na-03","二次救命処置を含む緊急性の高い患者の初期対応に可能な範囲で参加する。","救命処置","","","","",""
"G-04-01-01-01","主訴からの診断推論を組み立てる、又はたどる。","臨床推論","","","","",""
"G-04-01-01-02","疾患の病態や疫学を理解する。","臨床推論","","","","",""
